H100 : 
Coauthor_Physics,2-64,2.448
FacebookPagePage,2-64,1.7822
email-Enron,2-64,2.3392
loc-Brightkite,2-64,2.8977
soc-Epinions1,2-64,4.4501
HR_NO,2-64,4.1908
HU_NO,2-64,2.5622
GitHub,2-64,2.9007
artist,2-64,5.881
blog,2-64,14.7916
ell,2-64,5.8005
com-DBLP,2-64,12.689
amazon,2-64,35.5877
amazon0505,2-64,22.9243
dd,2-64,11.9051
comamazon,2-64,12.6147
roadNet-CA,2-64,64.6992
roadNet-PA,2-64,36.0576
roadNet-TX,2-64,45.6869
yeast,2-64,53.9072
Coauthor_Physics,2-128,3.7947
FacebookPagePage,2-128,2.7091
email-Enron,2-128,3.3863
loc-Brightkite,2-128,4.2823
soc-Epinions1,2-128,6.7734
HR_NO,2-128,6.7745
HU_NO,2-128,3.9503
GitHub,2-128,4.4764
artist,2-128,9.6427
blog,2-128,24.1747
ell,2-128,8.6902
com-DBLP,2-128,20.1653
amazon,2-128,65.295
amazon0505,2-128,37.1872
dd,2-128,18.4844
comamazon,2-128,19.8045
roadNet-CA,2-128,98.0278
roadNet-PA,2-128,54.0131
roadNet-TX,2-128,68.7297
yeast,2-128,80.8278
Coauthor_Physics,2-256,6.5718
FacebookPagePage,2-256,4.5796
email-Enron,2-256,5.6401
loc-Brightkite,2-256,7.1894
soc-Epinions1,2-256,11.6218
HR_NO,2-256,12.154
HU_NO,2-256,6.7947
GitHub,2-256,7.5051
artist,2-256,17.7522
blog,2-256,50.3145
ell,2-256,14.719
com-DBLP,2-256,35.8713
amazon,2-256,121.5244
amazon0505,2-256,74.8468
dd,2-256,32.3744
comamazon,2-256,34.8295
roadNet-PA,2-256,91.3815
roadNet-TX,2-256,123.8043
yeast,2-256,143.0995
Coauthor_Physics,4-64,5.5574
FacebookPagePage,4-64,4.014
email-Enron,4-64,4.9875
loc-Brightkite,4-64,6.1383
soc-Epinions1,4-64,9.9361
HR_NO,4-64,9.8708
HU_NO,4-64,5.6346
GitHub,4-64,6.6075
artist,4-64,14.3791
blog,4-64,36.4134
ell,4-64,11.4666
com-DBLP,4-64,27.4721
amazon,4-64,84.9711
amazon0505,4-64,51.6743
dd,4-64,24.7971
comamazon,4-64,26.6974
roadNet-CA,4-64,119.5524
roadNet-PA,4-64,66.7309
roadNet-TX,4-64,84.2331
yeast,4-64,97.6999
Coauthor_Physics,4-128,9.7964
FacebookPagePage,4-128,6.9681
email-Enron,4-128,8.4996
loc-Brightkite,4-128,10.6126
soc-Epinions1,4-128,17.1413
HR_NO,4-128,17.8481
HU_NO,4-128,9.9426
GitHub,4-128,11.2882
artist,4-128,25.9762
blog,4-128,65.4328
ell,4-128,20.5258
com-DBLP,4-128,50.4229
amazon,4-128,175.9759
amazon0505,4-128,95.6001
dd,4-128,45.1496
comamazon,4-128,48.7525
roadNet-CA,4-128,219.9389
roadNet-PA,4-128,121.1012
roadNet-TX,4-128,153.6272
yeast,4-128,178.6933
Coauthor_Physics,4-256,18.8221
FacebookPagePage,4-256,12.9477
email-Enron,4-256,15.8654
loc-Brightkite,4-256,20.4271
soc-Epinions1,4-256,33.2309
HR_NO,4-256,35.1474
HU_NO,4-256,19.5295
GitHub,4-256,21.4639
artist,4-256,51.3088
blog,4-256,145.2623
ell,4-256,42.7528
com-DBLP,4-256,104.5175
amazon0505,4-256,217.5577
dd,4-256,93.7593
comamazon,4-256,101.0863
roadNet-PA,4-256,257.1386
