H100 : 
ell,pyg,95.07
ell,dgl,94.54
ell,Magicsphere-fp16,95.27
ell,Magicsphere-tf32,94.79
cora,pyg,75.4
cora,dgl,76.1
cora,Magicsphere-fp16,74.7
cora,Magicsphere-tf32,70.6
min,pyg,80.0
min,dgl,80.0
min,Magicsphere-fp16,80.0
min,Magicsphere-tf32,80.0
pubmed,pyg,75.5
pubmed,dgl,76.6
pubmed,Magicsphere-fp16,75.4
pubmed,Magicsphere-tf32,75.2
question,pyg,97.01
question,dgl,96.63
question,Magicsphere-fp16,97.02
question,Magicsphere-tf32,97.02
texas,pyg,86.49
texas,dgl,78.38
texas,Magicsphere-fp16,81.08
texas,Magicsphere-tf32,81.08
wiki,pyg,76.33
wiki,dgl,76.09
wiki,Magicsphere-fp16,76.93
wiki,Magicsphere-tf32,75.94
