H100 : 
roadNet-CA,3-64,52.0392
roadNet-PA,3-64,28.992
roadNet-TX,3-64,36.7652
com-DBLP,3-64,9.7625
amazon,3-64,26.1165
amazon0505,3-64,17.6497
dd,3-64,9.1814
ell,3-64,4.5058
comamazon,3-64,9.7057
yeast,3-64,43.7293
DGraphFin,3-64,94.2396
pubmed,3-128,1.1309
Coauthor_Physics,3-128,2.9113
Amazon_Computers,3-128,2.3632
FacebookPagePage,3-128,2.0521
email-Enron,3-128,2.5072
loc-Brightkite,3-128,3.2503
soc-Epinions1,3-128,4.9935
HR_NO,3-128,5.235
HU_NO,3-128,3.0714
GitHub,3-128,3.2721
artist,3-128,7.4432
blog,3-128,17.7571
roadNet-CA,3-128,75.1812
roadNet-PA,3-128,41.8505
roadNet-TX,3-128,53.0475
com-DBLP,3-128,15.6889
amazon,3-128,44.8702
amazon0505,3-128,29.1292
dd,3-128,14.3728
ell,3-128,6.769
comamazon,3-128,15.5009
yeast,3-128,62.4054
DGraphFin,3-128,134.57
pubmed,3-256,1.8298
Coauthor_Physics,3-256,5.2745
Amazon_Computers,3-256,4.294
FacebookPagePage,3-256,3.6813
email-Enron,3-256,4.4221
loc-Brightkite,3-256,5.6507
soc-Epinions1,3-256,8.9434
HR_NO,3-256,9.6537
HU_NO,3-256,5.4297
GitHub,3-256,5.9341
artist,3-256,13.8656
blog,3-256,33.6342
roadNet-CA,3-256,129.9634
roadNet-PA,3-256,71.5067
roadNet-TX,3-256,91.0406
com-DBLP,3-256,28.3259
amazon,3-256,97.7228
amazon0505,3-256,53.442
dd,3-256,25.5093
ell,3-256,11.6777
comamazon,3-256,27.6345
yeast,3-256,106.7912
DGraphFin,3-256,248.9598
roadNet-CA,6-64,80.5575
roadNet-PA,6-64,45.1044
roadNet-TX,6-64,56.8934
com-DBLP,6-64,17.965
amazon,6-64,54.3867
amazon0505,6-64,34.3915
dd,6-64,16.2283
ell,6-64,7.4683
comamazon,6-64,17.4216
yeast,6-64,66.2241
DGraphFin,6-64,142.6404
pubmed,6-128,2.1273
Coauthor_Physics,6-128,6.2619
Amazon_Computers,6-128,5.2955
FacebookPagePage,6-128,4.3918
email-Enron,6-128,5.2322
loc-Brightkite,6-128,6.6702
soc-Epinions1,6-128,10.6077
HR_NO,6-128,11.5742
HU_NO,6-128,6.3943
GitHub,6-128,7.0768
artist,6-128,17.0401
blog,6-128,41.3419
roadNet-CA,6-128,134.7937
roadNet-PA,6-128,75.1681
roadNet-TX,6-128,94.7455
com-DBLP,6-128,32.2448
amazon,6-128,100.4796
amazon0505,6-128,62.2007
dd,6-128,28.6908
ell,6-128,12.7278
comamazon,6-128,31.2603
yeast,6-128,109.6958
DGraphFin,6-128,237.2509
pubmed,6-256,4.0345
Coauthor_Physics,6-256,12.263
Amazon_Computers,6-256,10.2573
FacebookPagePage,6-256,8.5698
email-Enron,6-256,10.1103
loc-Brightkite,6-256,12.7169
soc-Epinions1,6-256,20.5397
HR_NO,6-256,22.688
HU_NO,6-256,12.3673
GitHub,6-256,13.8093
artist,6-256,33.2387
blog,6-256,81.3035
roadNet-CA,6-256,270.5956
roadNet-PA,6-256,149.0454
roadNet-TX,6-256,188.9491
com-DBLP,6-256,63.9083
amazon,6-256,232.5918
amazon0505,6-256,123.0845
dd,6-256,56.3956
ell,6-256,25.1177
comamazon,6-256,61.6169
yeast,6-256,219.5757
DGraphFin,6-256,519.097
