H100 : 
pubmed,6-128,2.4283
Coauthor_Physics,6-128,2.6947
Amazon_Computers,6-128,2.66
DeezerEurope,6-128,3.1778
FacebookPagePage,6-128,2.9467
email-Enron,6-128,2.4349
loc-Brightkite,6-128,2.5558
soc-Epinions1,6-128,3.0239
HR_NO,6-128,2.562
HU_NO,6-128,2.4389
GitHub,6-128,2.6565
artist,6-128,2.7244
blog,6-128,4.4087
roadNet-CA,6-128,61.8007
roadNet-PA,6-128,34.5306
roadNet-TX,6-128,43.9547
com-DBLP,6-128,10.0081
amazon,6-128,14.5456
amazon0505,6-128,13.7666
dd,6-128,9.7152
ell,6-128,6.0765
comamazon,6-128,10.947
yeast,6-128,53.5193
DGraphFin,6-128,121.5751
