H100 : 
pubmed,6-128,1.0311
Coauthor_Physics,6-128,1.2194
Amazon_Computers,6-128,1.0552
DeezerEurope,6-128,1.0486
FacebookPagePage,6-128,1.0558
email-Enron,6-128,1.2334
loc-Brightkite,6-128,1.8862
soc-Epinions1,6-128,2.5785
HR_NO,6-128,2.0438
HU_NO,6-128,1.5684
GitHub,6-128,1.4143
artist,6-128,2.2559
blog,6-128,4.6945
roadNet-CA,6-128,61.1785
roadNet-PA,6-128,33.9524
roadNet-TX,6-128,43.2981
com-DBLP,6-128,9.3249
amazon,6-128,15.1902
amazon0505,6-128,12.9687
dd,6-128,9.3489
ell,6-128,5.6369
comamazon,6-128,9.5894
yeast,6-128,53.0969
DGraphFin,6-128,116.014
