H100 : 
roadNet-CA,3-64,52.0392
roadNet-PA,3-64,28.992
roadNet-TX,3-64,36.7652
com-DBLP,3-64,9.7625
amazon,3-64,26.1165
amazon0505,3-64,17.6497
dd,3-64,9.1814
ell,3-64,4.5058
comamazon,3-64,9.7057
yeast,3-64,43.7293
DGraphFin,3-64,94.2396
roadNet-CA,3-128,75.1812
roadNet-PA,3-128,41.8505
roadNet-TX,3-128,53.0475
com-DBLP,3-128,15.6889
amazon,3-128,44.8702
amazon0505,3-128,29.1292
dd,3-128,14.3728
ell,3-128,6.769
comamazon,3-128,15.5009
yeast,3-128,62.4054
DGraphFin,3-128,134.57
roadNet-CA,3-256,129.9634
roadNet-PA,3-256,71.5067
roadNet-TX,3-256,91.0406
com-DBLP,3-256,28.3259
amazon,3-256,97.7228
amazon0505,3-256,53.442
dd,3-256,25.5093
ell,3-256,11.6777
comamazon,3-256,27.6345
yeast,3-256,106.7912
DGraphFin,3-256,248.9598
roadNet-CA,6-64,80.5575
roadNet-PA,6-64,45.1044
roadNet-TX,6-64,56.8934
com-DBLP,6-64,17.965
amazon,6-64,54.3867
amazon0505,6-64,34.3915
dd,6-64,16.2283
ell,6-64,7.4683
comamazon,6-64,17.4216
yeast,6-64,66.2241
DGraphFin,6-64,142.6404
roadNet-CA,6-128,134.7937
roadNet-PA,6-128,75.1681
roadNet-TX,6-128,94.7455
com-DBLP,6-128,32.2448
amazon,6-128,100.4796
amazon0505,6-128,62.2007
dd,6-128,28.6908
ell,6-128,12.7278
comamazon,6-128,31.2603
yeast,6-128,109.6958
DGraphFin,6-128,237.2509
roadNet-CA,6-256,270.5956
roadNet-PA,6-256,149.0454
roadNet-TX,6-256,188.9491
com-DBLP,6-256,63.9083
amazon,6-256,232.5918
amazon0505,6-256,123.0845
dd,6-256,56.3956
ell,6-256,25.1177
comamazon,6-256,61.6169
yeast,6-256,219.5757
DGraphFin,6-256,519.097
