dataSet,num_nodes,num_edges,spmm_tcu_ori,spmm_tcu_part,spmm_tcu_binary,spmm_tcu
twotone,120751,1224224,0.1879,0.1876,0.1869,0.1902
k1_san,67760,303364,0.0504,0.0599,0.0539,0.0609
TSOPF_RS_b39_c30,60099,1079986,0.0748,0.081,0.0753,0.0794
EternityII_Etilde,204305,1170516,1.3499,0.2456,1.2323,0.2485
cit-HepTh,27771,352807,0.1179,0.0785,0.1236,0.0855
lp_pds_10,49933,107605,0.035,0.0346,0.0371,0.0371
pkustk03,63337,1596876,0.1131,0.1126,0.1106,0.1126
crystk02,13966,491274,0.029,0.0291,0.0322,0.0327
barrier2-2,113077,3805068,1.4371,0.4746,1.3212,0.4907
Linux_call_graph,324086,1208908,0.291,0.2935,0.2856,0.295
af_2_k101,503626,9027150,0.5223,0.5362,0.5047,0.5286
ckt11752_dc_1,49703,333029,0.2991,0.0561,0.2843,0.0557
ky2010,161673,393889,0.1252,0.1343,0.1219,0.1349
baxter,30734,111576,1.2071,0.031,1.1372,0.0303
af_shell3,504856,9046865,0.5274,0.5416,0.5073,0.5338
Zd_Jac3,22836,1916152,0.1883,0.1141,0.2044,0.1255
boyd2,466317,890091,3.4557,0.317,2.9753,0.3177
hi2010,25017,62063,0.0229,0.0233,0.025,0.0249
TSOPF_FS_b300_c3,84415,6578753,0.2015,0.2011,0.2164,0.2097
Baumann,112212,760631,0.1446,0.1462,0.1451,0.1494
AS365,3799276,11368076,3.2389,3.4944,3.0802,3.4948
ASIC_320k,321822,2635364,30.691,0.4722,27.2219,0.47
G_n_pin_pout,100001,501198,0.1273,0.1307,0.1285,0.1321
delaunay_n18,262145,786396,0.1801,0.1986,0.1765,0.199
af_shell6,504856,9046865,0.5276,0.5417,0.5083,0.5336
mi2010,329886,789045,0.2423,0.2616,0.2364,0.2626
fe_body,45088,163734,0.0309,0.0377,0.0344,0.0384
g7jac120sc,35551,475296,0.0744,0.0789,0.0806,0.0821
tomographic1,73160,647495,0.1229,0.1133,0.1243,0.1136
192bit,13692,154303,0.0299,0.0302,0.0334,0.0336
Stanford_Berkeley,683447,7583376,9.4746,1.0925,9.5932,1.1166
CurlCurl_3,1219575,7382096,1.037,1.0968,1.0,1.0859
Geo_1438,1437961,32297325,2.2171,2.231,2.2155,2.2347
mark3jac140,64090,399735,0.0786,0.0813,0.0766,0.0818
shallow_water2,81921,204800,0.0585,0.0649,0.0555,0.0654
coPapersDBLP,540487,15245729,0.8975,0.9022,0.8882,0.9022
amazon0302,262112,1234877,0.275,0.2862,0.2665,0.2863
Chevron1,37366,330633,0.0336,0.0382,0.0373,0.0381
memchip,2707525,14810202,2.665,2.8139,2.5386,2.8031
web-Google,916429,5105039,1.3202,1.3184,1.2578,1.3253
shuttle_eddy,10430,57014,0.0141,0.0143,0.0148,0.0152
flower_7_4,67594,202218,0.0429,0.047,0.0474,0.0492
kim2,456977,11330020,0.7332,0.7333,0.732,0.7364
ct20stif,52330,1375396,0.1118,0.1028,0.1075,0.1028
pkustk13,94894,3355860,0.2653,0.2385,0.268,0.2428
cage15,5154860,99199551,17.0313,16.6096,16.8367,16.8923
torso1,116159,8516500,0.8147,0.3131,0.7498,0.3148
hvdc2,189861,1347273,0.1788,0.1836,0.1714,0.1822
TSOPF_FS_b39_c19,76217,998359,0.0632,0.0689,0.0686,0.0704
fome12,48921,142528,0.0521,0.0494,0.0536,0.0529
finance256,37377,167936,0.034,0.0354,0.0384,0.0393
ASIC_320ks,321672,1827807,0.4706,0.3288,0.463,0.3287
Delor338K,887059,4211599,0.3523,0.3653,0.3345,0.3595
deltaX,68601,247424,0.0679,0.0601,0.0617,0.061
wang3,26065,177168,0.0323,0.0327,0.0363,0.0366
e18,38603,156466,0.024,0.0246,0.0267,0.0295
packing-500x100x100-b050,2145853,17488243,2.5809,2.5969,2.5428,2.6154
usroads-48,126147,161950,0.0775,0.087,0.0754,0.0878
bcsstk35,30238,740200,0.0463,0.0487,0.0502,0.0503
n4c6-b6,104116,728805,0.1335,0.1383,0.1401,0.1418
para-7,155925,5416358,1.562,0.6497,1.4074,0.666
rim,22561,1014951,0.0594,0.0594,0.0659,0.0663
hangGlider_4,15562,79088,0.5916,0.0289,0.5801,0.0294
af_shell2,504856,9046865,0.5275,0.5418,0.5083,0.5338
para-9,155925,5416358,1.5684,0.6495,1.4076,0.6668
jan99jac080,27535,171522,0.0311,0.0311,0.0342,0.0346
nug08-3rd,29857,148416,0.032,0.0321,0.0356,0.0359
adaptive,6815745,13624320,4.2125,4.9011,4.0764,4.9074
jan99jac060,20615,127182,0.0257,0.0258,0.0282,0.0284
nm2010,168610,415485,0.138,0.1462,0.1343,0.1471
email-EuAll,265215,420045,0.2652,0.1764,0.2346,0.1766
stomach,213361,3021648,0.3908,0.391,0.3989,0.4
rel8,345689,821839,0.1562,0.1483,0.164,0.1494
Long_Coup_dt0,1470153,44279572,2.6973,2.7161,2.7064,2.7226
shock-9,36477,71290,0.0203,0.0218,0.023,0.0239
neos2,134129,685087,0.1224,0.1287,0.1208,0.1293
af_shell1,504856,9046865,0.5275,0.5417,0.5081,0.5328
