dataSet,num_nodes,num_edges,spmm_tcu_ori,spmm_tcu_part,spmm_tcu_binary,spmm_tcu
twotone,120751,1224224,0.1902,0.1815,0.1799,0.1714
k1_san,67760,303364,0.0641,0.0663,0.0651,0.0677
TSOPF_RS_b39_c30,60099,1079986,0.0876,0.0903,0.0853,0.0885
EternityII_Etilde,204305,1170516,1.2789,0.3145,1.3104,0.3111
cit-HepTh,27771,352807,0.1208,0.0859,0.1182,0.0744
lp_pds_10,49933,107605,0.041,0.0365,0.0474,0.0355
pkustk03,63337,1596876,0.1136,0.1175,0.1076,0.1086
crystk02,13966,491274,0.0343,0.0343,0.0303,0.0307
barrier2-2,113077,3805068,1.3218,0.5502,1.2527,0.4815
Linux_call_graph,324086,1208908,0.2949,0.2947,0.2894,0.2903
af_2_k101,503626,9027150,0.5234,0.5435,0.5112,0.5365
ckt11752_dc_1,49703,333029,0.323,0.0599,0.361,0.0594
ky2010,161673,393889,0.1262,0.133,0.1274,0.1348
baxter,30734,111576,1.0234,0.0307,1.2467,0.0284
af_shell3,504856,9046865,0.5265,0.5455,0.5127,0.5375
Zd_Jac3,22836,1916152,0.2187,0.1359,0.2044,0.1168
boyd2,466317,890091,3.1155,0.3626,3.5507,0.3631
hi2010,25017,62063,0.0229,0.0236,0.0214,0.0224
TSOPF_FS_b300_c3,84415,6578753,0.2407,0.2354,0.2104,0.2103
Baumann,112212,760631,0.1469,0.1508,0.1345,0.14
AS365,3799276,11368076,4.1705,4.276,4.2032,4.3021
ASIC_320k,321822,2635364,25.6952,0.5366,25.3999,0.533
G_n_pin_pout,100001,501198,0.1355,0.1387,0.1314,0.1355
delaunay_n18,262145,786396,0.1967,0.2062,0.1994,0.2093
af_shell6,504856,9046865,0.5272,0.5462,0.5148,0.5387
mi2010,329886,789045,0.248,0.2608,0.2491,0.2623
fe_body,45088,163734,0.0406,0.0429,0.0413,0.0437
g7jac120sc,35551,475296,0.0882,0.0821,0.0823,0.0749
tomographic1,73160,647495,0.1308,0.1141,0.1266,0.1114
192bit,13692,154303,0.0354,0.0358,0.0307,0.0313
Stanford_Berkeley,683447,7583376,9.3861,1.2282,9.4272,1.1347
CurlCurl_3,1219575,7382096,1.0891,1.1355,1.0981,1.1475
Geo_1438,1437961,32297325,2.3626,2.3972,2.2081,2.242
mark3jac140,64090,399735,0.0807,0.0825,0.0768,0.0798
shallow_water2,81921,204800,0.0618,0.066,0.0621,0.066
coPapersDBLP,540487,15245729,0.969,0.9912,0.8958,0.9305
amazon0302,262112,1234877,0.3061,0.3137,0.3066,0.3148
Chevron1,37366,330633,0.0443,0.0465,0.0442,0.0464
memchip,2707525,14810202,3.1262,3.2005,3.145,3.2251
web-Google,916429,5105039,1.5177,1.52,1.5239,1.5254
shuttle_eddy,10430,57014,0.0135,0.0139,0.0133,0.0138
flower_7_4,67594,202218,0.0532,0.0544,0.0512,0.0526
kim2,456977,11330020,0.7607,0.7729,0.696,0.7179
ct20stif,52330,1375396,0.112,0.0913,0.1138,0.0888
pkustk13,94894,3355860,0.2843,0.2563,0.262,0.2313
cage15,5154860,99199551,20.2739,21.3904,18.9687,19.9907
torso1,116159,8516500,0.734,0.3423,0.8096,0.3119
hvdc2,189861,1347273,0.1785,0.1852,0.1767,0.185
TSOPF_FS_b39_c19,76217,998359,0.0771,0.0763,0.0728,0.0725
fome12,48921,142528,0.0613,0.0491,0.0574,0.0486
finance256,37377,167936,0.0403,0.0418,0.0382,0.04
ASIC_320ks,321672,1827807,0.4503,0.319,0.4493,0.3212
Delor338K,887059,4211599,0.3627,0.3756,0.3616,0.376
deltaX,68601,247424,0.0761,0.0599,0.0817,0.0592
wang3,26065,177168,0.0368,0.0374,0.0327,0.0335
e18,38603,156466,0.0281,0.0285,0.0251,0.0263
packing-500x100x100-b050,2145853,17488243,2.6099,2.663,2.442,2.5524
usroads-48,126147,161950,0.0877,0.0927,0.0869,0.0916
bcsstk35,30238,740200,0.0585,0.0516,0.0522,0.0474
n4c6-b6,104116,728805,0.1494,0.1522,0.1358,0.1404
para-7,155925,5416358,1.4682,0.7508,1.391,0.6566
rim,22561,1014951,0.0706,0.071,0.0607,0.0624
hangGlider_4,15562,79088,0.4618,0.0201,0.4886,0.0187
af_shell2,504856,9046865,0.5271,0.5462,0.513,0.5382
para-9,155925,5416358,1.4692,0.7534,1.3859,0.6565
jan99jac080,27535,171522,0.0342,0.0348,0.0311,0.0321
nug08-3rd,29857,148416,0.037,0.0377,0.0327,0.0335
adaptive,6815745,13624320,5.2393,5.4523,5.2817,5.5028
jan99jac060,20615,127182,0.027,0.0273,0.0243,0.0255
nm2010,168610,415485,0.1369,0.1436,0.1377,0.1444
email-EuAll,265215,420045,0.2392,0.1775,0.2405,0.1748
stomach,213361,3021648,0.4159,0.4203,0.3637,0.3724
rel8,345689,821839,0.1647,0.1489,0.1585,0.1451
Long_Coup_dt0,1470153,44279572,2.9979,3.0228,2.6609,2.7643
shock-9,36477,71290,0.0258,0.0273,0.0255,0.0275
neos2,134129,685087,0.1224,0.1298,0.1204,0.1286
af_shell1,504856,9046865,0.527,0.546,0.5131,0.5385
ted_B_unscaled,10606,77592,0.0135,0.0136,0.013,0.0133
FEM_3D_thermal1,17881,430740,0.0439,0.0446,0.0381,0.0389
crankseg_2,63839,7106348,0.4082,0.3833,0.3633,0.335
pkustk06,43165,1307466,0.1005,0.0945,0.0933,0.0889
ted_AB,10606,522387,0.0396,0.0406,0.0368,0.0366
lowThrust_5,16263,103701,0.022,0.0228,0.0208,0.0214
TSOPF_FS_b300_c2,56815,4391071,0.1695,0.1621,0.1497,0.1446
neos1,133474,599590,0.1282,0.1349,0.1258,0.1332
raefsky4,19780,674195,0.0469,0.0469,0.0421,0.0421
pattern1,19243,4671337,1.2572,1.0015,1.1468,0.8199
Pres_Poisson,14823,365313,0.0323,0.033,0.0305,0.031
rajat21,411677,1893370,14.858,0.3943,14.4675,0.4008
ny2010,350170,854772,0.2645,0.2787,0.2653,0.2793
tube1,21499,459277,0.0292,0.0298,0.026,0.0269
fxm3_16,85576,392252,0.0684,0.0706,0.0669,0.0684
ts-palko,47236,1076903,5.7463,0.2035,6.2767,0.1747
crystk03,24697,887937,0.0557,0.0561,0.0486,0.0495
kkt_power,2063495,8130343,2.2024,2.2817,2.1133,2.2077
inline_1,503713,18660027,1.4365,1.1979,1.3525,1.0941
Franz11,47105,329728,0.0743,0.0772,0.0664,0.0685
scircuit,170999,958936,0.2148,0.1855,0.2083,0.186
route,43020,206782,1.5585,0.0517,1.7467,0.0456
watson_2,677225,1846391,0.5264,0.4591,0.5241,0.4513
ch8-8-b5,564481,3386880,0.7006,0.7181,0.6622,0.6863
H2O,67025,1141880,0.1856,0.1871,0.1603,0.1626
