dataSet,num_nodes,num_edges,spmm_tcu_sgt
144,144650,1074393,0.3348
2D_27628_bjtcai,27629,442898,0.0941
2D_54019_highK,54020,996414,1.1032
333SP,3712816,11108633,1000000000
3D_28984_Tetra,28985,599170,7.8268
3D_51448_3D,51449,1056610,12.9368
3Dspectralwave,680944,17165766,1000000000
3Dspectralwave2,292009,7307376,1000000000
3dtube,45331,1629474,2.9194
598a,110972,741934,0.2606
a0nsdsil,80017,200021,15.0637
a2nnsnsl,80017,196115,15.1284
a5esindl,60009,145004,4.3974
adaptive,6815745,13624320,1000000000
af_0_k101,503626,9027150,1000000000
af_1_k101,503626,9027150,1000000000
af_2_k101,503626,9027150,1000000000
af_3_k101,503626,9027150,1000000000
af_4_k101,503626,9027150,1000000000
af_5_k101,503626,9027150,1000000000
af_shell1,504856,9046865,1000000000
af_shell10,1508066,27090195,1000000000
af_shell2,504856,9046865,1000000000
af_shell3,504856,9046865,1000000000
af_shell4,504856,9046865,1000000000
af_shell5,504856,9046865,1000000000
af_shell6,504856,9046865,1000000000
af_shell7,504856,9046865,1000000000
af_shell8,504856,9046865,1000000000
af_shell9,504856,9046865,1000000000
ak2010,45293,108549,0.1469
Andrews,60001,410077,0.1504
AS365,3799276,11368076,1000000000
as-caida,31380,106762,1.9353
as-Skitter,1696416,11095298,1000000000
astro-ph,16707,121251,0.044
audikw_1,943696,39297771,1000000000
auto,448696,3314611,1.051
barrier2-1,113077,3805068,14.0392
barrier2-10,115626,3897557,19.8233
barrier2-11,115626,3897557,19.8285
barrier2-12,115626,3897557,19.8264
barrier2-2,113077,3805068,14.0025
barrier2-3,113077,3805068,13.9892
barrier2-4,113077,3805068,13.9929
barrier2-9,115626,3897557,19.8151
bauru5727,40367,145019,0.0577
bbmat,38745,1771722,0.2844
bcsstk17,10975,219812,0.0467
bcsstk18,11949,80519,0.028
bcsstk25,15440,133840,0.0274
bcsstk29,13993,316740,0.0501
bcsstk30,28925,1036208,0.1989
bcsstk31,35589,608502,0.0928
bcsstk32,44610,1029655,0.1662
bcsstk35,30238,740200,0.1348
bcsstk36,23053,583096,0.0918
bcsstk37,25504,583240,0.0787
bcsstk39,46773,1068033,0.1347
bcsstm36,23053,166389,0.0369
belgium_osm,1441296,1549970,1000000000
BenElechi1,245875,6698185,1000000000
blockqp1,60013,340022,214.7596
bloweya,30005,80005,14.5275
bloweybl,30004,70001,14.5315
bmw3_2,227363,5757996,1000000000
bmw7st_1,141348,3740507,0.7342
bmwcra_1,148771,5396386,1000000000
bone010,986704,36326514,1000000000
boneS01,127225,3421188,0.3999
boneS10,914899,28191660,1000000000
boyd1,93280,652246,12822.7051
boyd2,466317,890091,136.3573
brack2,62632,366559,0.1103
brainpc2,27608,96601,0.0223
bratu3d,27793,88627,0.0275
Bump_2911,2911420,65320659,1000000000
bundle1,10582,390741,0.1473
bundle_adj,513352,10360701,1000000000
c-42,10472,60378,0.2205
c-43,11126,67400,0.0518
c-45,13207,93829,0.0201
c-46,14914,72655,0.0372
c-47,15344,113372,0.1642
c-48,18355,92217,0.2937
c-49,21133,89087,0.6033
c-50,22402,108013,0.6052
c-51,23197,113123,0.6282
c-52,23949,113332,0.7216
c-53,30236,201224,0.1111
c-54,31794,211743,0.7475
c-55,32781,218115,1.6919
c-56,35911,208405,0.6084
c-57,37834,221515,0.0659
c-58,37596,295076,4.3884
c-59,41283,260909,1.8856
c-60,43641,171109,1.0972
c-61,43619,176817,1.6363
c-62,41732,300537,4.3738
c-62ghs,41732,300537,4.3646
c-63,44235,239469,2.0345
c-64,51036,384438,0.1222
c-64b,51036,384438,0.1228
c-65,48067,204297,2.0621
c-66,49990,274498,1.7166
c-66b,49990,274498,1.714
c-67b,57976,294955,0.1956
c-68,64811,315408,1.6086
c-69,67459,345714,3.3003
c-70,68925,363955,3.3771
c-71,76639,468096,7.1702
c-73,169423,724348,0.2099
c-73b,169423,724348,0.2098
ca-AstroPh,18773,198110,0.1654
ca-CondMat,23134,93497,0.0882
cage14,1505786,27130349,1000000000
cage15,5154860,99199551,1000000000
ca-HepPh,12009,118521,0.1862
caidaRouterLevel,192245,609066,0.2259
cant,62452,2034917,0.259
case39,40217,526139,0.0706
case9,14455,75801,0.0154
c-big,345242,1343126,53.5107
cbuckle,13682,345098,0.1794
ccc,49153,73728,0.0478
cfd1,70657,949510,0.1658
Chebyshev4,68122,5377761,1000000000
circuit_4,80210,307604,8.1865
circuit5M,5558327,59524291,1000000000
circuit5M_dc,3523318,19194193,1000000000
citationCiteseer,268496,1156647,0.8132
cit-Patents,3774769,16518948,1000000000
ckt11752_dc_1,49703,333029,1.8773
ckt11752_tr_0,49703,333029,1.8856
cnr-2000,325558,3216152,2.0079
CO,221120,3943588,0.9598
coAuthorsCiteseer,227321,814134,0.2161
coAuthorsDBLP,299068,977676,0.2935
cond-mat-2003,31164,120029,0.0345
cond-mat-2005,40422,175693,0.0535
conf5_4-8x8-05,49153,1916928,0.3191
conf5_4-8x8-10,49153,1916928,0.3188
conf5_4-8x8-15,49153,1916928,0.3189
conf5_4-8x8-20,49153,1916928,0.3193
conf6_0-8x8-20,49153,1916928,0.3197
conf6_0-8x8-30,49153,1916928,0.3195
conf6_0-8x8-80,49153,1916928,0.3188
consph,83335,3046907,0.3802
cont-201,80596,239596,0.0822
cont-300,180896,539396,0.1819
coPapersCiteseer,434103,16036720,1000000000
coPapersDBLP,540487,15245729,1000000000
copter1,17223,114143,0.0276
CoupCons3D,416801,22322336,1000000000
crankseg_1,52805,5333507,1000000000
crankseg_2,63839,7106348,1000000000
crplat2,18011,489478,0.0605
crystk02,13966,491274,0.0703
crystk03,24697,887937,0.1194
crystm02,13966,168435,0.0422
crystm03,24697,304233,0.069
ct2010,67579,168176,0.0771
ct20stif,52330,1375396,0.2906
Cube_Coup_dt0,2164761,64685452,1000000000
Cube_Coup_dt6,2164761,64685452,1000000000
CurlCurl_0,11084,62213,0.0159
CurlCurl_4,2380516,14448191,1000000000
cvxqp3,17501,69981,0.0256
cyl6,13682,363961,0.2252
darcy003,389875,1167685,0.4571
dawson5,51538,531157,0.1001
dblp-2010,326187,807700,0.3144
dc3,116836,766396,7542.25
de2010,24116,58028,0.0278
debr,1048577,2097149,1000000000
delaunay_n15,32769,98274,0.032
delaunay_n16,65537,196575,0.0689
delaunay_n17,131073,393176,0.1296
delaunay_n18,262145,786396,0.2535
delaunay_n19,524289,1572823,0.4991
delaunay_n20,1048577,3145686,1000000000
delaunay_n21,2097153,6291408,1000000000
delaunay_n22,4194305,12582869,1000000000
denormal,89401,622812,0.1184
dictionary28,52653,89038,0.0483
dielFilterV2clx,607233,12958252,1000000000
dielFilterV2real,1157457,24848204,1000000000
dielFilterV3clx,420409,16653308,1000000000
Dubcova1,16130,134569,0.0298
Dubcova3,146690,1891669,0.2472
e40r0100,17282,553562,0.1201
EAT_RS,23220,325592,0.4505
ecology1,1000001,2998000,1000000000
ecology2,1000000,2997995,0.9919
email-Enron,36693,183831,0.078
Emilia_923,923137,20964171,1000000000
engine,143572,2424822,0.5143
enron,69245,276143,1.2107
eu-2005,862665,19235140,1000000000
ex11,16615,1096948,0.1903
ex19,12006,259879,0.0602
F1,343792,13590452,1000000000
F2,71506,2682895,0.4504
Fault_639,638803,14626683,1000000000
fcondp2,201823,5748069,1000000000
fem_hifreq_circuit,491101,20239237,1000000000
filter3D,106438,1406808,0.2879
finance256,37377,167936,0.0552
Flan_1565,1564795,59485419,1000000000
flickr,820879,9837214,1000000000
foldoc,13357,120238,0.0511
Freescale1,3428756,18920347,1000000000
fullb,199188,5953632,1000000000
FullChip,2987013,26621990,1000000000
fxm4_6,18893,258368,0.0881
G2_circuit,150103,438388,0.1533
G3_circuit,1585479,4623152,1000000000
Ga10As10H30,113082,3114357,0.9075
Ga19As19H42,133124,4508981,1.2595
Ga3As3H12,61350,3016148,2.0225
Ga41As41H72,268097,9378286,1000000000
GaAsH6,61350,1721579,1.5775
gas_sensor,66918,885141,0.1551
Ge87H76,112986,4002590,1.0072
Ge99H100,112986,4282190,1.0583
gearbox,153747,4617075,0.5864
Geo_1438,1437961,32297325,1000000000
gridgena,48963,280523,0.0622
gsm_106857,589447,11174185,1000000000
gupta1,31803,1098006,0.2175
gupta2,62065,2155175,0.3917
gupta3,16784,4670105,656.9539
gyro,17362,519260,0.0836
gyro_k,17362,519260,0.0843
gyro_m,17362,178896,0.0511
H2O,67025,1141880,0.2838
halfb,224618,6306219,1000000000
Hamrle3,1447361,5514242,1000000000
hangGlider_4,15562,79088,7.3511
hangGlider_5,16012,82070,7.7039
helm2d03,392258,1567096,0.4539
helm3d01,32227,230335,0.0597
hi2010,25017,62063,0.031
hollywood-2009,1139906,57515616,1000000000
hood,220543,5494489,1000000000
Hook_1498,1498024,31207734,1000000000
HTC_336_4438,226341,565431,0.2837
HTC_336_9129,226341,554881,0.2835
hugetric-00000,5824555,8733523,1000000000
human_gene1,22284,12345963,1000000000
human_gene2,14341,9041364,1000000000
HV15R,2017170,283073458,1000000000
ibm_matrix_2,51449,1056610,12.9118
igbt3,10939,234006,0.0735
in-2004,1382909,16917053,1000000000
inlet,11731,328323,0.0471
inline_1,503713,18660027,1000000000
ins2,309413,1530448,48478.0391
italy_osm,6686494,7013978,1000000000
jan99jac120sc,41375,260202,0.0711
juba40k,40338,144945,0.0562
k3plates,11108,378927,0.0569
kim1,38416,933195,0.1222
kkt_power,2063495,8130343,1000000000
kron_g500-logn16,65537,2456398,16.6695
kron_g500-logn17,131073,5114375,1000000000
kron_g500-logn18,262145,10583222,1000000000
kron_g500-logn19,524289,21781478,1000000000
kron_g500-logn20,1048577,44620272,1000000000
laminar_duct3D,67174,3833077,0.6205
language,399131,1216334,20.2775
largebasis,440021,5560100,1000000000
ldoor,952204,23737339,1000000000
lhr34,35153,764014,0.1223
lhr34c,35153,764014,0.1229
lhr71,70305,1528092,0.2282
lhr71c,70305,1528092,0.2285
li,22696,1350309,0.2859
ljournal-2008,5363261,79023142,1000000000
Long_Coup_dt0,1470153,44279572,1000000000
Long_Coup_dt6,1470153,44279572,1000000000
lowThrust_10,18261,116074,0.0339
lowThrust_11,18369,117002,0.0341
lowThrust_12,18459,117423,0.0342
lowThrust_13,18477,117580,0.0345
lowThrust_4,13563,84240,0.026
lowThrust_5,16263,103701,0.0321
lowThrust_6,16929,108376,0.0323
lowThrust_7,17379,110607,0.033
lowThrust_8,17703,113139,0.0335
lowThrust_9,18045,114806,0.0337
lp1,534389,1088904,0.4534
