dataSet,num_nodes,num_edges,openMP,GPU
TSOPF_RS_b39_c30,60099,1079986,129.48,4.9
pkustk03,63337,1596876,86.82,5.21
crystk02,13966,491274,32.9,3.0
barrier2-2,113077,3805068,175.33,21.13
af_2_k101,503626,9027150,870.0,303.92
ckt11752_dc_1,49703,333029,134.21,6.61
af_shell3,504856,9046865,537.58,11.45
Zd_Jac3,22836,1916152,51.9,22.61
boyd2,466317,890091,399.82,71.18
hi2010,25017,62063,45.51,1.71
TSOPF_FS_b300_c3,84415,6578753,134.6,12.84
AS365,3799276,11368076,3970.39,12.6
delaunay_n18,262145,786396,369.24,3.19
af_shell6,504856,9046865,676.46,12.52
Geo_1438,1437961,32297325,1717.67,36.08
coPapersDBLP,540487,15245729,687.05,21.53
web-Google,916429,5105039,839.49,6.81
ct20stif,52330,1375396,66.19,6.53
pkustk13,94894,3355860,118.28,8.25
cage15,5154860,99199551,6409.43,83.14
torso1,116159,8516500,347.59,108.21
TSOPF_FS_b39_c19,76217,998359,83.49,3.5
finance256,37377,167936,58.71,2.17
usroads-48,126147,161950,135.85,2.05
bcsstk35,30238,740200,99.23,4.55
rim,22561,1014951,42.81,4.1
hangGlider_4,15562,79088,32.79,12.95
af_shell2,504856,9046865,446.74,11.88
adaptive,6815745,13624320,6055.74,17.17
Long_Coup_dt0,1470153,44279572,1295.1,51.34
af_shell1,504856,9046865,454.16,11.78
ted_B_unscaled,10606,77592,24.99,1.69
crankseg_2,63839,7106348,128.93,14.51
pkustk06,43165,1307466,66.61,5.43
ted_AB,10606,522387,27.68,4.96
lowThrust_5,16263,103701,32.32,1.75
TSOPF_FS_b300_c2,56815,4391071,74.29,10.35
raefsky4,19780,674195,38.33,3.84
pattern1,19243,4671337,142.7,20.83
Pres_Poisson,14823,365313,31.66,2.83
tube1,21499,459277,37.75,2.46
crystk03,24697,887937,42.77,3.19
kkt_power,2063495,8130343,1991.58,9.42
inline_1,503713,18660027,555.81,39.98
H2O,67025,1141880,83.96,3.18
ca-CondMat,23134,93497,45.99,1.89
TSOPF_FS_b9_c6,14455,75801,29.59,1.49
Bump_2911,2911420,65320659,2893.14,70.15
ted_AB_unscaled,10606,522387,39.72,5.33
rma10,46836,2374001,62.76,6.16
pds10,16559,83108,34.04,1.88
conf5_4-8x8-15,49153,1916928,65.9,4.53
conf5_4-8x8-10,49153,1916928,63.02,4.55
wikipedia-20051105,1634990,19753078,1544.61,29.19
vsp_sctap1-2b_and_seymourl,40175,140831,63.62,3.62
bmw7st_1,141348,3740507,137.45,11.61
TSOPF_RS_b300_c3,42139,4413449,71.29,10.76
language,399131,1216334,342.1,23.37
t3dl_a,20361,265113,39.5,2.21
rgg_n_2_22_s0,4194305,30359198,3647.91,27.01
Cube_Coup_dt6,2164761,64685452,2509.03,72.71
cvxqp3,17501,69981,34.1,1.78
