dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,8,16,24,32,40,48,56,64,density,speedup
boyd2,466317,890091,0.4233,0.3655,0.4039,0.383,0.356,0.3567,0.3651,0.3653,0.3656,0.3651,24,1.03
brack2,62632,366559,0.0816,0.0706,0.0718,0.066,0.0616,0.063,0.0661,0.0724,0.0722,0.0712,24,1.15
ca-AstroPh,18773,198110,0.0666,0.0556,0.062,0.0611,0.055,0.0556,0.0559,0.0563,0.056,0.0561,24,1.01
circuit_4,80210,307604,0.0898,0.0989,0.0854,0.0793,0.0722,0.0977,0.0998,0.1005,0.0998,0.0999,24,1.24
ckt11752_dc_1,49703,333029,0.0735,0.058,0.0679,0.0609,0.0517,0.0544,0.0564,0.0587,0.0592,0.0594,24,1.12
ckt11752_tr_0,49703,333029,0.0722,0.0579,0.0658,0.0609,0.0518,0.0539,0.0572,0.0586,0.0592,0.059,24,1.12
cond-mat-2003,31164,120029,0.0411,0.0264,0.0321,0.0276,0.0245,0.0256,0.0264,0.027,0.027,0.0271,24,1.08
copter1,17223,114143,0.0347,0.0192,0.0283,0.0285,0.0182,0.0182,0.0203,0.0205,0.0204,0.0205,24,1.05
GaAsH6,61350,1721579,0.2508,0.3631,0.2464,0.2419,0.1718,0.1724,0.1791,0.1771,0.2004,0.1897,24,1.46
lowThrust_11,18369,117002,0.0355,0.0252,0.0311,0.0358,0.0202,0.0202,0.0202,0.0202,0.0203,0.0231,24,1.25
lowThrust_12,18459,117423,0.0354,0.0253,0.032,0.0358,0.0198,0.0205,0.0203,0.0203,0.0204,0.0229,24,1.28
lowThrust_4,13563,84240,0.0286,0.0214,0.0277,0.0296,0.0157,0.0162,0.0162,0.016,0.0162,0.0204,24,1.36
lowThrust_5,16263,103701,0.0303,0.024,0.0303,0.0327,0.0184,0.0185,0.0184,0.0184,0.0188,0.021,24,1.3
lowThrust_7,17379,110607,0.0331,0.024,0.0302,0.0344,0.0188,0.0195,0.0194,0.0194,0.019,0.022,24,1.28
mario001,38435,114643,0.0483,0.029,0.04,0.0336,0.0286,0.0303,0.0303,0.0303,0.0302,0.0302,24,1.01
mark3jac040sc,18290,113435,0.0336,0.0271,0.0311,0.0284,0.0235,0.0248,0.0274,0.0282,0.0284,0.0287,24,1.15
mark3jac060sc,27450,170695,0.0481,0.0353,0.045,0.0376,0.0311,0.0318,0.035,0.0363,0.0364,0.0358,24,1.14
net4-1,88344,1265035,0.3056,0.3526,0.2939,0.2927,0.2542,0.2757,0.3361,0.3528,0.3521,0.3525,24,1.2
olafu,16147,515651,0.0479,0.1438,0.0442,0.0408,0.036,0.0375,0.0388,0.0387,0.0432,0.0443,24,1.33
onetone2,36058,227628,0.0516,0.0471,0.0484,0.0417,0.0351,0.0376,0.0361,0.0433,0.0474,0.0482,24,1.34
rajat15,37262,443573,0.0898,0.0861,0.0843,0.0784,0.067,0.069,0.0743,0.0746,0.0787,0.0803,24,1.29
rajat22,39900,197264,0.0491,0.0444,0.0429,0.0415,0.0364,0.0394,0.0441,0.0455,0.0456,0.0455,24,1.22
tandem_vtx,18455,135902,0.0329,0.0237,0.0312,0.0306,0.0224,0.023,0.0229,0.0255,0.025,0.0246,24,1.06
transient,178867,961790,0.2283,0.2395,0.2223,0.2243,0.1922,0.21,0.2404,0.2406,0.2406,0.2402,24,1.19
turon_m,189925,912345,0.1749,0.1922,0.1598,0.1626,0.1565,0.1617,0.1906,0.1933,0.1937,0.1929,24,1.12
vibrobox,12329,177578,0.0414,0.0325,0.0371,0.0349,0.0321,0.0321,0.0321,0.0327,0.0335,0.0335,24,1.01
