dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,dur,density,speedup
2D_27628_bjtcai,27629,442898,0.0456,0.048,0.0465,0.0361,0.0323,0.04,0.0416,0.0432,0.0485,0.0484,42.3862,3,1.41
2D_54019_highK,54020,996414,0.0954,0.1024,0.1025,0.0716,0.0706,0.0887,0.0936,0.0969,0.1005,0.0994,62.3533,3,1.35
3D_51448_3D,51449,1056610,0.1122,0.1039,0.1134,0.0782,0.0766,0.1002,0.1035,0.106,0.1045,0.1043,81.5364,3,1.36
conf5_4-8x8-10,49153,1916928,0.136,0.182,0.1377,0.1256,0.1207,0.1473,0.1578,0.163,0.1819,0.1812,87.5339,3,1.13
conf5_4-8x8-15,49153,1916928,0.136,0.1801,0.1365,0.1256,0.1205,0.1468,0.158,0.1625,0.1826,0.1833,91.6814,3,1.13
conf5_4-8x8-20,49153,1916928,0.1351,0.18,0.1375,0.1254,0.1198,0.1469,0.157,0.1618,0.1817,0.1811,81.2148,3,1.13
conf6_0-8x8-20,49153,1916928,0.1353,0.1798,0.1363,0.1253,0.1205,0.1475,0.1565,0.1621,0.1813,0.1807,83.6054,3,1.12
conf6_0-8x8-80,49153,1916928,0.1353,0.1815,0.137,0.1265,0.1207,0.1468,0.1566,0.1619,0.1807,0.1809,82.3284,3,1.12
crankseg_2,63839,7106348,0.335,0.6224,0.3367,0.3091,0.3028,0.3393,0.3635,0.4096,0.4685,0.4982,192.0387,3,1.11
crystk03,24697,887937,0.049,0.0868,0.0512,0.0464,0.0445,0.0449,0.0517,0.0545,0.0639,0.072,49.6766,3,1.1
F2,71506,2682895,0.1791,0.2447,0.1805,0.1617,0.1602,0.1871,0.1954,0.2059,0.2186,0.223,110.7663,3,1.12
Ga3As3H12,61350,3016148,0.2287,0.2745,0.2314,0.1874,0.1861,0.1936,0.2026,0.2176,0.2324,0.2459,100.8986,3,1.23
GaAsH6,61350,1721579,0.1787,0.1632,0.1813,0.1414,0.1406,0.1458,0.1514,0.1531,0.1575,0.1557,90.6762,3,1.16
gyro,17362,519260,0.0365,0.0532,0.0376,0.0344,0.0321,0.0328,0.0345,0.037,0.0394,0.0433,32.5124,3,1.14
gyro_k,17362,519260,0.0366,0.0535,0.0378,0.0344,0.0318,0.0328,0.0343,0.0364,0.0394,0.0428,33.896,3,1.15
human_gene1,22284,12345963,1.2241,1.0669,1.2321,0.8564,0.8471,0.9045,0.9623,1.0163,1.0481,1.0672,404.3727,3,1.26
human_gene2,14341,9041364,0.7933,0.7811,0.7944,0.5811,0.5754,0.621,0.6722,0.7216,0.7571,0.7803,289.8511,3,1.36
ibm_matrix_2,51449,1056610,0.1126,0.1051,0.1132,0.0781,0.0767,0.1011,0.1039,0.1064,0.1061,0.1052,62.6941,3,1.37
laminar_duct3D,67174,3833077,0.2023,0.3442,0.2034,0.1856,0.1842,0.1914,0.2086,0.2309,0.276,0.3045,176.64,3,1.1
li,22696,1350309,0.0894,0.1256,0.0912,0.0758,0.0751,0.0826,0.0909,0.1016,0.1129,0.1245,46.2617,3,1.19
mouse_gene,45102,14506196,1.9768,1.2551,1.9645,1.1986,1.1834,1.2214,1.2499,1.2514,1.2509,1.2503,432.2589,3,1.06
nd24k,72001,14393817,0.478,1.2414,0.4789,0.459,0.4545,0.4623,0.4854,0.5295,0.5974,0.7264,218.2927,3,1.05
pcrystk03,24697,887937,0.0483,0.086,0.0499,0.0458,0.043,0.0446,0.0513,0.054,0.0633,0.0712,48.0076,3,1.12
pdb1HYS,36418,2190591,0.101,0.1982,0.0972,0.0918,0.0836,0.0899,0.0946,0.1041,0.1145,0.1232,78.9909,3,1.21
pkustk04,55591,2137125,0.1385,0.1962,0.1444,0.1283,0.1173,0.1336,0.1431,0.1519,0.1692,0.1752,103.6469,3,1.18
pkustk05,37165,1121154,0.0782,0.1084,0.0797,0.0653,0.0638,0.0675,0.0683,0.0833,0.0914,0.0972,68.4821,3,1.23
pkustk06,43165,1307466,0.0914,0.1248,0.0926,0.0739,0.0724,0.0794,0.0806,0.0975,0.108,0.114,68.229,3,1.26
pkustk09,33961,808800,0.0575,0.0802,0.0584,0.0483,0.0478,0.051,0.0511,0.0584,0.0643,0.0689,59.0306,3,1.2
pkustk10,80677,2194830,0.1411,0.208,0.1425,0.1237,0.1232,0.1364,0.1382,0.1586,0.1664,0.1811,105.5046,3,1.15
pkustk12,94654,3803485,0.2403,0.3482,0.2462,0.2198,0.2158,0.2533,0.2658,0.2827,0.3053,0.3166,188.7979,3,1.11
vanbody,47073,1191985,0.0747,0.115,0.0768,0.0705,0.0661,0.0697,0.074,0.0816,0.0907,0.0968,72.8665,3,1.13
windscreen,22693,752541,0.0418,0.0738,0.0427,0.0395,0.0381,0.0385,0.0454,0.0469,0.0545,0.0614,40.7044,3,1.1
