dataSet,num_nodes,num_edges,flash
144,144650,1074393,0.0799
2D_27628_bjtcai,27629,442898,0.0244
2D_54019_highK,54020,996414,0.0504
333SP,3712816,11108633,1.4909
3D_28984_Tetra,28985,599170,0.0325
3D_51448_3D,51449,1056610,0.0511
3Dspectralwave,680944,17165766,0.8073
3Dspectralwave2,292009,7307376,0.3453
3dtube,45331,1629474,0.0672
598a,110972,741934,0.0518
a0nsdsil,80017,200021,0.0413
a2nnsnsl,80017,196115,0.0411
a5esindl,60009,145004,0.0326
adaptive,6815745,13624320,1.6563
af_0_k101,503626,9027150,0.3177
af_1_k101,503626,9027150,0.3128
af_2_k101,503626,9027150,0.3125
af_3_k101,503626,9027150,0.3122
af_4_k101,503626,9027150,0.312
af_5_k101,503626,9027150,0.3121
af_shell1,504856,9046865,0.3286
af_shell10,1508066,27090195,0.9053
af_shell2,504856,9046865,0.3345
af_shell3,504856,9046865,0.3287
af_shell4,504856,9046865,0.3286
af_shell5,504856,9046865,0.3285
af_shell6,504856,9046865,0.3286
af_shell7,504856,9046865,0.3287
af_shell8,504856,9046865,0.3287
af_shell9,504856,9046865,0.3285
ak2010,45293,108549,0.0237
Andrews,60001,410077,0.0313
AS365,3799276,11368076,2.1105
as-caida,31380,106762,0.0222
ASIC_680k,682863,3871773,0.5392
as-Skitter,1696416,11095298,1.2581
astro-ph,16707,121251,0.0191
audikw_1,943696,39297771,1.4628
auto,448696,3314611,0.2301
barrier2-1,113077,3805068,0.191
barrier2-10,115626,3897557,0.1942
barrier2-11,115626,3897557,0.1943
barrier2-12,115626,3897557,0.1943
barrier2-2,113077,3805068,0.1913
barrier2-3,113077,3805068,0.1906
barrier2-4,113077,3805068,0.191
barrier2-9,115626,3897557,0.1944
bauru5727,40367,145019,0.014
bbmat,38745,1771722,0.0698
bcsstk17,10975,219812,0.0158
bcsstk18,11949,80519,0.01
bcsstk25,15440,133840,0.0125
bcsstk29,13993,316740,0.021
bcsstk30,28925,1036208,0.0458
bcsstk31,35589,608502,0.0329
bcsstk32,44610,1029655,0.0454
bcsstk35,30238,740200,0.0363
bcsstk36,23053,583096,0.0292
bcsstk37,25504,583240,0.0297
bcsstk39,46773,1068033,0.0452
bcsstm36,23053,166389,0.0151
belgium_osm,1441296,1549970,0.2464
BenElechi1,245875,6698185,0.2347
blockqp1,60013,340022,0.0459
bloweya,30005,80005,0.022
bloweybl,30004,70001,0.0216
bmw3_2,227363,5757996,0.2553
bmw7st_1,141348,3740507,0.1477
bmwcra_1,148771,5396386,0.1975
bone010,986704,36326514,1.2291
boneS01,127225,3421188,0.1248
boneS10,914899,28191660,0.9781
boyd1,93280,652246,0.0814
boyd2,466317,890091,0.275
brack2,62632,366559,0.0245
brainpc2,27608,96601,0.0099
bratu3d,27793,88627,0.0102
Bump_2911,2911420,65320659,2.3212
bundle1,10582,390741,0.0237
bundle_adj,513352,10360701,0.4276
c-42,10472,60378,0.0154
c-43,11126,67400,0.0167
c-45,13207,93829,0.0156
c-46,14914,72655,0.0131
c-47,15344,113372,0.02
c-48,18355,92217,0.0211
c-49,21133,89087,0.0226
c-50,22402,108013,0.0256
c-51,23197,113123,0.0244
c-52,23949,113332,0.0239
c-53,30236,201224,0.0256
c-54,31794,211743,0.0305
c-55,32781,218115,0.0314
c-56,35911,208405,0.032
c-57,37834,221515,0.0208
c-58,37596,295076,0.0379
c-59,41283,260909,0.0342
c-60,43641,171109,0.0346
c-61,43619,176817,0.0347
