dataSet,num_nodes,num_edges,flash
144,144650,1074393,0.2116
2D_27628_bjtcai,27629,442898,0.0307
2D_54019_highK,54020,996414,0.0564
333SP,3712816,11108633,5.9706
3D_28984_Tetra,28985,599170,0.0371
3D_51448_3D,51449,1056610,0.0604
3Dspectralwave,680944,17165766,1.6586
3Dspectralwave2,292009,7307376,0.6799
3dtube,45331,1629474,0.0695
598a,110972,741934,0.1426
a0nsdsil,80017,200021,0.0361
a2nnsnsl,80017,196115,0.0355
a5esindl,60009,145004,0.0293
adaptive,6815745,13624320,9.2999
af_0_k101,503626,9027150,0.6634
af_1_k101,503626,9027150,0.6681
af_2_k101,503626,9027150,0.6681
af_3_k101,503626,9027150,0.668
af_4_k101,503626,9027150,0.668
af_5_k101,503626,9027150,0.668
af_shell1,504856,9046865,0.6719
af_shell10,1508066,27090195,1.9916
af_shell2,504856,9046865,0.6705
af_shell3,504856,9046865,0.6721
af_shell4,504856,9046865,0.6719
af_shell5,504856,9046865,0.672
af_shell6,504856,9046865,0.6719
af_shell7,504856,9046865,0.6719
af_shell8,504856,9046865,0.6719
af_shell9,504856,9046865,0.6718
ak2010,45293,108549,0.0272
Andrews,60001,410077,0.0715
AS365,3799276,11368076,7.2612
as-caida,31380,106762,0.0228
ASIC_680k,682863,3871773,1.3714
as-Skitter,1696416,11095298,2.3439
astro-ph,16707,121251,0.0167
audikw_1,943696,39297771,2.0736
auto,448696,3314611,0.7045
barrier2-1,113077,3805068,0.4167
barrier2-10,115626,3897557,0.4276
barrier2-11,115626,3897557,0.4274
barrier2-12,115626,3897557,0.4274
barrier2-2,113077,3805068,0.4169
barrier2-3,113077,3805068,0.4168
barrier2-4,113077,3805068,0.4168
barrier2-9,115626,3897557,0.4273
bauru5727,40367,145019,0.0242
bbmat,38745,1771722,0.0805
bcsstk17,10975,219812,0.0155
bcsstk18,11949,80519,0.0125
bcsstk25,15440,133840,0.0139
bcsstk29,13993,316740,0.0184
bcsstk30,28925,1036208,0.0456
bcsstk31,35589,608502,0.036
bcsstk32,44610,1029655,0.0464
bcsstk35,30238,740200,0.0322
bcsstk36,23053,583096,0.0271
bcsstk37,25504,583240,0.0269
bcsstk39,46773,1068033,0.0519
bcsstm36,23053,166389,0.0162
belgium_osm,1441296,1549970,1.6097
BenElechi1,245875,6698185,0.3571
blockqp1,60013,340022,0.0359
bloweya,30005,80005,0.016
bloweybl,30004,70001,0.0159
bmw3_2,227363,5757996,0.344
bmw7st_1,141348,3740507,0.2151
bmwcra_1,148771,5396386,0.2746
bone010,986704,36326514,1.6946
boneS01,127225,3421188,0.1976
boneS10,914899,28191660,1.4633
boyd1,93280,652246,0.1326
boyd2,466317,890091,0.6317
brack2,62632,366559,0.0409
brainpc2,27608,96601,0.0127
bratu3d,27793,88627,0.0143
Bump_2911,2911420,65320659,4.2814
bundle1,10582,390741,0.0174
bundle_adj,513352,10360701,0.7069
c-42,10472,60378,0.0114
c-43,11126,67400,0.0102
c-45,13207,93829,0.0096
c-46,14914,72655,0.0125
c-47,15344,113372,0.0206
c-48,18355,92217,0.016
c-49,21133,89087,0.0168
c-50,22402,108013,0.0169
c-51,23197,113123,0.018
c-52,23949,113332,0.0178
c-53,30236,201224,0.0202
c-54,31794,211743,0.0215
c-55,32781,218115,0.0276
c-56,35911,208405,0.0241
c-57,37834,221515,0.0229
c-58,37596,295076,0.0422
c-59,41283,260909,0.0352
c-60,43641,171109,0.0293
c-61,43619,176817,0.0302
c-62,41732,300537,0.0403
c-62ghs,41732,300537,0.0405
c-63,44235,239469,0.0332
c-64,51036,384438,0.0357
c-64b,51036,384438,0.0355
c-65,48067,204297,0.0322
c-66,49990,274498,0.0348
c-66b,49990,274498,0.0348
c-67b,57976,294955,0.0339
c-68,64811,315408,0.0458
c-69,67459,345714,0.0515
c-70,68925,363955,0.0569
c-71,76639,468096,0.0844
c-73,169423,724348,0.2468
c-73b,169423,724348,0.2468
ca-AstroPh,18773,198110,0.0367
ca-CondMat,23134,93497,0.0227
cage14,1505786,27130349,5.1616
cage15,5154860,99199551,21.7161
ca-HepPh,12009,118521,0.022
caidaRouterLevel,192245,609066,0.1895
cant,62452,2034917,0.1006
case39,40217,526139,0.0253
case9,14455,75801,0.0083
c-big,345242,1343126,0.538
cbuckle,13682,345098,0.0164
ccc,49153,73728,0.0186
cfd1,70657,949510,0.0997
Chebyshev4,68122,5377761,0.3214
circuit_4,80210,307604,0.0959
circuit5M,5558327,59524291,17.0985
circuit5M_dc,3523318,19194193,7.0401
citationCiteseer,268496,1156647,0.3427
cit-Patents,3774769,16518948,8.9276
ckt11752_dc_1,49703,333029,0.0345
ckt11752_tr_0,49703,333029,0.0342
cnr-2000,325558,3216152,0.3956
CO,221120,3943588,0.431
coAuthorsCiteseer,227321,814134,0.2288
coAuthorsDBLP,299068,977676,0.3033
cond-mat-2003,31164,120029,0.0197
cond-mat-2005,40422,175693,0.0268
conf5_4-8x8-05,49153,1916928,0.1062
conf5_4-8x8-10,49153,1916928,0.1063
conf5_4-8x8-15,49153,1916928,0.1063
conf5_4-8x8-20,49153,1916928,0.1061
conf6_0-8x8-20,49153,1916928,0.1062
conf6_0-8x8-30,49153,1916928,0.1062
conf6_0-8x8-80,49153,1916928,0.1062
consph,83335,3046907,0.1527
cont-201,80596,239596,0.0387
cont-300,180896,539396,0.1971
coPapersCiteseer,434103,16036720,0.8654
coPapersDBLP,540487,15245729,1.0272
copter1,17223,114143,0.0154
CoupCons3D,416801,22322336,1.1702
crankseg_1,52805,5333507,0.2118
crankseg_2,63839,7106348,0.2799
crplat2,18011,489478,0.021
crystk02,13966,491274,0.0235
crystk03,24697,887937,0.0382
crystm02,13966,168435,0.0207
crystm03,24697,304233,0.034
ct2010,67579,168176,0.0361
ct20stif,52330,1375396,0.0594
Cube_Coup_dt0,2164761,64685452,3.5544
Cube_Coup_dt6,2164761,64685452,3.5535
CurlCurl_0,11084,62213,0.0079
CurlCurl_4,2380516,14448191,2.8636
cvxqp3,17501,69981,0.0136
cyl6,13682,363961,0.0169
darcy003,389875,1167685,0.6174
dawson5,51538,531157,0.0411
dblp-2010,326187,807700,0.3433
dc3,116836,766396,0.1727
de2010,24116,58028,0.0139
debr,1048577,2097149,1.4539
delaunay_n15,32769,98274,0.0152
delaunay_n16,65537,196575,0.028
delaunay_n17,131073,393176,0.1467
delaunay_n18,262145,786396,0.3027
delaunay_n19,524289,1572823,0.6147
delaunay_n20,1048577,3145686,1.2276
delaunay_n21,2097153,6291408,2.4577
delaunay_n22,4194305,12582869,4.9043
denormal,89401,622812,0.1144
dictionary28,52653,89038,0.0211
dielFilterV2clx,607233,12958252,1.1359
dielFilterV2real,1157457,24848204,2.1717
dielFilterV3clx,420409,16653308,1.0955
Dubcova1,16130,134569,0.0157
Dubcova3,146690,1891669,0.2314
e40r0100,17282,553562,0.0402
