dataSet,num_nodes,num_edges,dtc
144,144650,1074393,0.6207808256149292
2D_27628_bjtcai,27629,442898,0.08878080546855927
2D_54019_highK,54020,996414,0.16354240477085114
333SP,3712816,11108633,13.465394973754883
3D_28984_Tetra,28985,599170,0.09505920112133026
3D_51448_3D,51449,1056610,0.1505568027496338
3Dspectralwave,680944,17165766,2.96396803855896
3Dspectralwave2,292009,7307376,1.2462079524993896
3dtube,45331,1629474,0.16128000617027283
598a,110972,741934,0.45639681816101074
a0nsdsil,80017,200021,0.19527679681777954
a2nnsnsl,80017,196115,0.19263359904289246
a5esindl,60009,145004,0.16803839802742004
adaptive,6815745,13624320,22.291555404663086
af_0_k101,503626,9027150,1.861222505569458
af_1_k101,503626,9027150,1.8307487964630127
af_2_k101,503626,9027150,1.821913480758667
af_3_k101,503626,9027150,1.8299808502197266
af_4_k101,503626,9027150,1.8158752918243408
af_5_k101,503626,9027150,1.821833610534668
af_shell1,504856,9046865,1.8076671361923218
af_shell10,1508066,27090195,5.552755355834961
af_shell2,504856,9046865,1.8161662817001343
af_shell3,504856,9046865,1.8125600814819336
af_shell4,504856,9046865,1.8080768585205078
af_shell5,504856,9046865,1.8088960647583008
af_shell6,504856,9046865,1.8151423931121826
af_shell7,504856,9046865,1.8082815408706665
af_shell8,504856,9046865,1.8109439611434937
af_shell9,504856,9046865,1.8113536834716797
ak2010,45293,108549,0.1566687971353531
Andrews,60001,410077,0.21503999829292297
AS365,3799276,11368076,14.354130744934082
as-caida,31380,106762,0.09809920191764832
as-Skitter,1696416,11095298,5.951693058013916
astro-ph,16707,121251,0.07454720139503479
audikw_1,943696,39297771,4.184268951416016
auto,448696,3314611,1.8235136270523071
barrier2-1,113077,3805068,0.6029312014579773
barrier2-10,115626,3897557,0.6265823841094971
barrier2-11,115626,3897557,0.6166431903839111
barrier2-12,115626,3897557,0.6167551875114441
barrier2-2,113077,3805068,0.6031360030174255
barrier2-3,113077,3805068,0.6021215915679932
barrier2-4,113077,3805068,0.6026303768157959
barrier2-9,115626,3897557,0.6269952058792114
bauru5727,40367,145019,0.10806399583816528
bbmat,38745,1771722,0.13192960619926453
bcsstk17,10975,219812,0.0549888014793396
bcsstk18,11949,80519,0.05499839782714844
bcsstk25,15440,133840,0.0544000044465065
bcsstk29,13993,316740,0.053862400352954865
bcsstk30,28925,1036208,0.09714239835739136
bcsstk31,35589,608502,0.10692479461431503
bcsstk32,44610,1029655,0.13926400244235992
bcsstk35,30238,740200,0.09807360172271729
bcsstk36,23053,583096,0.08232320100069046
bcsstk37,25504,583240,0.08529920130968094
bcsstk39,46773,1068033,0.1551136076450348
bcsstm36,23053,166389,0.07658879458904266
belgium_osm,1441296,1549970,4.42702054977417
BenElechi1,245875,6698185,0.953548789024353
blockqp1,60013,340022,0.1640447974205017
bloweya,30005,80005,0.084067203104496
bloweybl,30004,70001,0.08421120047569275
bmw3_2,227363,5757996,0.890982449054718
bmw7st_1,141348,3740507,0.5106688141822815
bmwcra_1,148771,5396386,0.6118303537368774
bone010,986704,36326514,3.960831880569458
boneS01,127225,3421188,0.4968448281288147
boneS10,914899,28191660,3.6326401233673096
boyd1,93280,652246,0.30617600679397583
boyd2,466317,890091,1.5417344570159912
brack2,62632,366559,0.2094080001115799
