dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,4,8,14,18,22,30,38,50,density,speedup
144,144650,1074393,0.0569,0.1148,0.0625,0.0683,0.0789,0.0978,0.1019,0.1093,0.115,0.115,0,0.91
2D_27628_bjtcai,27629,442898,0.0112,0.0417,0.0117,0.0118,0.0109,0.0167,0.0167,0.0175,0.02,0.0298,14,1.03
2D_54019_highK,54020,996414,0.0337,0.0805,0.0338,0.0338,0.0364,0.0273,0.0274,0.0273,0.0331,0.0503,18,1.23
333SP,3712816,11108633,1.3553,2.717,1.5753,1.6766,2.0009,2.0407,2.1595,2.7152,2.7176,2.7172,0,0.86
3D_28984_Tetra,28985,599170,0.019,0.0491,0.0183,0.0192,0.0192,0.0207,0.0224,0.0248,0.0273,0.0395,4,1.04
3D_51448_3D,51449,1056610,0.03,0.0786,0.0298,0.0314,0.0331,0.029,0.0298,0.0339,0.0421,0.0594,18,1.03
3Dspectralwave,680944,17165766,0.4881,2.4617,0.5564,0.5947,0.6676,0.9134,0.9333,1.0221,1.2952,1.7766,0,0.88
3Dspectralwave2,292009,7307376,0.2105,1.0484,0.2357,0.2522,0.2818,0.3747,0.3824,0.4133,0.5321,0.7441,0,0.89
3dtube,45331,1629474,0.0307,0.3551,0.0297,0.0306,0.0306,0.0339,0.0461,0.0494,0.0502,0.0839,4,1.03
598a,110972,741934,0.0388,0.0836,0.0486,0.0536,0.0604,0.0724,0.078,0.084,0.0839,0.0838,0,0.8
a0nsdsil,80017,200021,0.0395,0.0425,0.0396,0.0396,0.0404,0.0429,0.0429,0.0428,0.0429,0.0429,0,1.0
a2nnsnsl,80017,196115,0.039,0.0424,0.0396,0.0396,0.0396,0.0429,0.0429,0.0428,0.0429,0.0428,0,0.98
a5esindl,60009,145004,0.0305,0.0317,0.0314,0.0314,0.0323,0.0323,0.0322,0.0323,0.0324,0.0323,0,0.97
adaptive,6815745,13624320,1.8402,4.0646,1.7131,1.7326,2.2803,2.9725,4.0675,4.0691,4.3084,4.3321,4,1.07
af_0_k101,503626,9027150,0.123,0.7244,0.1287,0.1291,0.1308,0.1319,0.1324,0.132,0.2121,0.3004,0,0.96
af_1_k101,503626,9027150,0.125,0.7874,0.129,0.1289,0.1308,0.1309,0.1317,0.1327,0.2123,0.3011,0,0.97
af_2_k101,503626,9027150,0.1249,0.7873,0.1291,0.1294,0.1315,0.1316,0.1318,0.1327,0.2116,0.3008,0,0.97
af_3_k101,503626,9027150,0.1258,0.7873,0.129,0.1294,0.1314,0.1321,0.1322,0.1326,0.2118,0.3005,0,0.98
af_4_k101,503626,9027150,0.1251,0.7872,0.1286,0.1291,0.1317,0.1321,0.1319,0.1324,0.2119,0.2952,0,0.97
af_5_k101,503626,9027150,0.125,0.7876,0.1286,0.1291,0.1315,0.1321,0.1324,0.1323,0.2117,0.2949,0,0.97
af_shell1,504856,9046865,0.1378,0.7937,0.1422,0.1423,0.145,0.1347,0.133,0.1484,0.19,0.3013,22,1.04
af_shell10,1508066,27090195,0.3683,2.3705,0.37,0.3764,0.4331,0.4316,0.4321,0.5079,0.6373,0.9685,0,1.0
af_shell2,504856,9046865,0.1381,0.7936,0.1421,0.142,0.1463,0.1334,0.1338,0.1472,0.1904,0.302,18,1.04
af_shell3,504856,9046865,0.1379,0.7936,0.1418,0.1419,0.1466,0.1335,0.1343,0.1472,0.19,0.2959,18,1.03
af_shell4,504856,9046865,0.1378,0.7936,0.1417,0.1418,0.1462,0.1337,0.1335,0.1458,0.1899,0.3041,22,1.03
af_shell5,504856,9046865,0.138,0.7935,0.1423,0.1422,0.1466,0.1337,0.1336,0.1472,0.19,0.2956,22,1.03
af_shell6,504856,9046865,0.138,0.7936,0.1418,0.1419,0.1465,0.1324,0.135,0.1452,0.1925,0.296,18,1.04
