dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
144,144650,1074393,0.1756,0.1972,0.1782,0.2219,0.2011,0.1987,0.1942,0.1975,0.1947,0.1978,0,0.99
2D_54019_highK,54020,996414,0.0512,0.0634,0.0522,0.0414,0.0446,0.0586,0.0603,0.0612,0.0658,0.0642,2,1.24
333SP,3712816,11108633,4.0824,6.0708,4.1459,8.9831,6.5532,6.0844,6.0732,6.072,6.0723,6.0707,0,0.98
3D_28984_Tetra,28985,599170,0.0346,0.0355,0.035,0.034,0.0259,0.035,0.0357,0.0365,0.0356,0.0356,3,1.34
3D_51448_3D,51449,1056610,0.0525,0.0626,0.0529,0.0423,0.0455,0.0611,0.0628,0.0644,0.0626,0.0627,2,1.24
3Dspectralwave,680944,17165766,1.3375,1.2061,1.2792,1.9157,1.9968,1.9398,1.6003,1.3549,1.2995,1.252,9,0.96
3Dspectralwave2,292009,7307376,0.5472,0.5124,0.5503,0.815,0.8414,0.8277,0.692,0.5794,0.547,0.5389,9,0.95
3dtube,45331,1629474,0.0621,0.098,0.0627,0.0595,0.062,0.066,0.0692,0.0783,0.0901,0.093,2,1.04
598a,110972,741934,0.1235,0.1355,0.1248,0.1378,0.135,0.1354,0.1351,0.1349,0.135,0.1356,0,0.99
a0nsdsil,80017,200021,0.032,0.0365,0.0348,0.0448,0.0446,0.0447,0.0447,0.0446,0.0447,0.0447,0,0.92
a2nnsnsl,80017,196115,0.032,0.0363,0.0348,0.0447,0.0447,0.0447,0.0439,0.0439,0.0422,0.0411,0,0.92
a5esindl,60009,145004,0.0262,0.0282,0.0291,0.0348,0.0347,0.0348,0.0347,0.0347,0.0347,0.0348,0,0.9
adaptive,6815745,13624320,6.5089,9.9901,6.7394,13.2971,11.4113,9.99,9.9907,9.9906,9.9899,9.9902,0,0.97
af_0_k101,503626,9027150,0.5162,0.8143,0.5246,0.5855,0.6799,1.0497,1.239,1.3184,1.3583,1.2932,0,0.98
af_1_k101,503626,9027150,0.5161,0.8144,0.5249,0.5894,0.6786,1.0492,1.2388,1.3226,1.3569,1.2949,0,0.98
af_2_k101,503626,9027150,0.5242,0.8254,0.5337,0.5902,0.679,1.0504,1.2388,1.3224,1.3583,1.2943,0,0.98
af_3_k101,503626,9027150,0.5243,0.8251,0.5335,0.5943,0.6794,1.05,1.2395,1.3224,1.3571,1.294,0,0.98
af_4_k101,503626,9027150,0.516,0.8255,0.5339,0.5973,0.6782,1.0492,1.2382,1.319,1.3587,1.2938,0,0.97
af_5_k101,503626,9027150,0.5243,0.8253,0.5334,0.5927,0.6825,1.0499,1.2398,1.3232,1.3576,1.2901,0,0.98
af_shell1,504856,9046865,0.5198,0.8171,0.5376,0.596,0.7172,0.9732,1.2097,1.3194,1.3704,1.3006,0,0.97
af_shell10,1508066,27090195,1.5655,2.4176,1.594,1.8184,2.1898,2.9319,3.6348,3.9455,4.1155,3.9084,0,0.98
af_shell2,504856,9046865,0.5201,0.8179,0.538,0.6006,0.7149,0.9741,1.2108,1.316,1.3706,1.301,0,0.97
af_shell3,504856,9046865,0.52,0.8067,0.5287,0.5919,0.7208,0.9742,1.2116,1.3197,1.3699,1.3013,0,0.98
af_shell4,504856,9046865,0.5201,0.8063,0.5289,0.5968,0.716,0.9738,1.2101,1.3191,1.3709,1.3009,0,0.98
af_shell5,504856,9046865,0.52,0.8062,0.5289,0.5922,0.7146,0.9742,1.2106,1.3197,1.3704,1.3014,0,0.98
af_shell6,504856,9046865,0.52,0.8066,0.5288,0.5973,0.7137,0.9742,1.2106,1.3207,1.3697,1.3012,0,0.98
af_shell7,504856,9046865,0.5283,0.8173,0.5374,0.5961,0.7162,0.9739,1.2117,1.3199,1.3694,1.3014,0,0.98
af_shell8,504856,9046865,0.5201,0.8176,0.5352,0.6019,0.716,0.9687,1.2101,1.3201,1.3707,1.3017,0,0.97
af_shell9,504856,9046865,0.5201,0.8069,0.5293,0.5971,0.7149,0.9741,1.2106,1.3191,1.3703,1.3006,0,0.98
ak2010,45293,108549,0.0259,0.0187,0.0267,0.025,0.0201,0.0185,0.0185,0.0185,0.0184,0.0184,7,1.02
Andrews,60001,410077,0.0513,0.0356,0.052,0.0381,0.0356,0.0363,0.0356,0.0356,0.0356,0.0356,9,1.0
AS365,3799276,11368076,4.6627,6.6291,4.7206,8.8773,6.8352,6.6378,6.628,6.6272,6.6304,6.6269,0,0.99
as-caida,31380,106762,0.0223,0.0168,0.0235,0.0242,0.0178,0.0168,0.0168,0.0163,0.0171,0.0169,6,1.03
ASIC_680k,682863,3871773,0.8822,1.3697,0.8855,1.8359,1.8409,1.8446,1.8434,1.844,1.843,1.8416,0,1.0
as-Skitter,1696416,11095298,1.768,2.6422,1.7951,3.0595,3.0653,3.0185,2.977,2.9479,2.9235,2.9251,0,0.98
astro-ph,16707,121251,0.0134,0.0117,0.0145,0.0144,0.0127,0.0111,0.0111,0.011,0.0111,0.0113,6,1.06
audikw_1,943696,39297771,1.6493,2.4808,1.6648,1.969,2.4108,2.9479,2.9805,3.0096,3.0375,3.018,0,0.99
auto,448696,3314611,0.5295,0.6371,0.5505,0.8373,0.7121,0.6589,0.6481,0.6423,0.6366,0.6367,0,0.96
barrier2-1,113077,3805068,0.3061,0.231,0.3069,0.2916,0.304,0.2506,0.2406,0.235,0.2312,0.2308,8,1.0
barrier2-10,115626,3897557,0.3127,0.2359,0.3138,0.2991,0.3124,0.2566,0.2473,0.2409,0.2375,0.2367,9,1.0
barrier2-11,115626,3897557,0.3129,0.2356,0.3137,0.2993,0.3123,0.255,0.2471,0.2418,0.2375,0.2371,9,0.99
barrier2-12,115626,3897557,0.3131,0.2359,0.3139,0.2985,0.3122,0.2565,0.2462,0.2414,0.2375,0.2366,9,1.0
