dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,dur,density,speedup
144,144650,1074393,0.1645,0.1955,0.1669,0.292,0.2091,0.1974,0.1945,0.1924,0.1929,0.194,0.0312,0,0.99
2D_27628_bjtcai,27629,442898,0.0262,0.0381,0.0269,0.0244,0.0333,0.0538,0.053,0.0488,0.0407,0.0399,0.0062,2,1.07
2D_54019_highK,54020,996414,0.0464,0.0746,0.0473,0.0472,0.0644,0.1005,0.1006,0.098,0.0907,0.0825,0.0124,0,0.98
333SP,3712816,11108633,4.0764,6.0203,4.1483,11.7483,6.8252,6.0422,6.0192,6.0184,6.0181,6.0231,0.7141,0,0.98
3D_28984_Tetra,28985,599170,0.0317,0.0437,0.0324,0.0358,0.0385,0.0588,0.0579,0.0547,0.0439,0.044,0.008,0,0.98
3D_51448_3D,51449,1056610,0.049,0.0725,0.0497,0.0505,0.0695,0.1087,0.1062,0.1013,0.0786,0.0775,0.0151,0,0.99
3Dspectralwave,680944,17165766,1.1899,1.244,1.1952,2.2306,2.4312,2.372,1.8265,1.4741,1.3654,1.3394,0.2425,0,1.0
3Dspectralwave2,292009,7307376,0.5009,0.5472,0.5194,0.9484,1.0347,1.0092,0.7804,0.6176,0.5784,0.5672,0.1072,0,0.96
3dtube,45331,1629474,0.0571,0.1102,0.0571,0.0702,0.0801,0.0965,0.107,0.1111,0.1145,0.1136,0.015,0,1.0
598a,110972,741934,0.1135,0.1339,0.1157,0.1805,0.1344,0.1326,0.1315,0.1331,0.1324,0.1336,0.0241,0,0.98
a0nsdsil,80017,200021,0.0314,0.0637,0.0333,0.0826,0.0833,0.0832,0.0832,0.0825,0.0825,0.0832,0.0162,0,0.94
a2nnsnsl,80017,196115,0.0309,0.0643,0.0333,0.0832,0.0825,0.0833,0.0825,0.0815,0.0785,0.0758,0.0163,0,0.93
a5esindl,60009,145004,0.0245,0.048,0.0261,0.062,0.0619,0.0619,0.0619,0.062,0.0619,0.062,0.0131,0,0.94
adaptive,6815745,13624320,6.5612,9.9604,6.7764,21.1787,12.5555,9.9654,9.9648,9.9641,9.9638,9.9666,1.7316,0,0.97
af_0_k101,503626,9027150,0.5151,0.8017,0.5235,0.9624,1.1826,1.367,1.5752,1.7106,1.7412,1.4889,0.1383,0,0.98
af_1_k101,503626,9027150,0.5128,0.8012,0.5182,0.9675,1.181,1.3661,1.5735,1.7152,1.7292,1.4983,0.1383,0,0.99
af_2_k101,503626,9027150,0.52,0.8097,0.5222,0.9673,1.1833,1.3654,1.575,1.7196,1.7339,1.4889,0.1443,0,1.0
af_3_k101,503626,9027150,0.516,0.8095,0.5179,0.9686,1.1756,1.3733,1.5771,1.7193,1.7313,1.4907,0.14,0,1.0
af_4_k101,503626,9027150,0.518,0.8103,0.5179,0.9673,1.1756,1.3681,1.5815,1.7163,1.7352,1.4889,0.1403,1,1.0
af_5_k101,503626,9027150,0.5119,0.8009,0.5186,0.9616,1.1763,1.3712,1.579,1.7112,1.7336,1.4915,0.1368,0,0.99
af_shell1,504856,9046865,0.5142,0.7931,0.5274,0.96,1.1717,1.3665,1.5667,1.7188,1.7291,1.5061,0.1408,0,0.97
af_shell10,1508066,27090195,1.5428,2.372,1.5712,2.9294,3.5059,4.0986,4.6959,5.2114,5.2235,4.4918,0.4064,0,0.98
af_shell2,504856,9046865,0.5151,0.8015,0.5227,0.9614,1.1679,1.3646,1.5681,1.7265,1.7243,1.5081,0.1316,0,0.99
af_shell3,504856,9046865,0.5139,0.8016,0.5227,0.9642,1.1722,1.37,1.5664,1.7212,1.7244,1.5019,0.1417,0,0.98
af_shell4,504856,9046865,0.5138,0.7934,0.5224,0.962,1.1677,1.3657,1.573,1.7333,1.7263,1.503,0.1316,0,0.98
af_shell5,504856,9046865,0.514,0.7931,0.5273,0.9658,1.1659,1.3693,1.5681,1.7288,1.7389,1.5011,0.1286,0,0.97
af_shell6,504856,9046865,0.5143,0.8016,0.5274,0.9676,1.1724,1.3644,1.5734,1.725,1.7221,1.5043,0.1634,0,0.98
af_shell7,504856,9046865,0.5201,0.8015,0.5224,0.962,1.1642,1.369,1.5738,1.736,1.7234,1.5017,0.1431,0,1.0
