dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
144,144650,1074393,0.1993,0.2457,0.2022,0.2832,0.2503,0.2476,0.2462,0.2465,0.2465,0.247,0,0.99
2D_27628_bjtcai,27629,442898,0.0265,0.0437,0.0279,0.0263,0.0294,0.0376,0.0376,0.0386,0.0441,0.0443,2,1.01
2D_54019_highK,54020,996414,0.0484,0.0954,0.0508,0.049,0.0549,0.0695,0.0729,0.0779,0.0909,0.0916,0,0.99
333SP,3712816,11108633,5.979,8.0922,5.9786,11.6987,8.664,8.1023,8.0916,8.0887,8.0899,8.0899,1,1.0
3D_28984_Tetra,28985,599170,0.0323,0.0536,0.0335,0.0327,0.0327,0.0466,0.0482,0.0499,0.0548,0.0549,0,0.99
3D_51448_3D,51449,1056610,0.056,0.0961,0.0556,0.0524,0.0581,0.0818,0.0851,0.0893,0.0975,0.0966,2,1.07
3Dspectralwave,680944,17165766,1.4633,1.8007,1.4419,2.3074,2.4284,2.4309,2.1868,1.9411,1.8557,1.8373,1,1.01
3Dspectralwave2,292009,7307376,0.6178,0.773,0.6196,0.9813,1.0368,1.052,0.9246,0.8152,0.7922,0.7857,0,1.0
3dtube,45331,1629474,0.06,0.1486,0.0606,0.0614,0.0654,0.081,0.0843,0.1081,0.1255,0.1343,0,0.99
598a,110972,741934,0.1322,0.1798,0.1351,0.1838,0.177,0.1788,0.1762,0.1744,0.1759,0.1764,0,0.98
a0nsdsil,80017,200021,0.0335,0.038,0.0368,0.0466,0.0459,0.0466,0.0458,0.046,0.0458,0.0458,0,0.91
a2nnsnsl,80017,196115,0.033,0.038,0.036,0.0458,0.0458,0.0458,0.0458,0.045,0.0441,0.0434,0,0.92
a5esindl,60009,145004,0.0259,0.029,0.0278,0.0351,0.0351,0.0351,0.0351,0.0351,0.0351,0.0351,0,0.93
adaptive,6815745,13624320,8.8913,12.6918,9.2807,18.8928,14.5966,12.6904,12.6908,12.6909,12.6909,12.6911,0,0.96
af_0_k101,503626,9027150,0.6134,0.9709,0.6262,0.9212,1.173,1.4125,1.5944,1.7252,1.6655,1.555,0,0.98
af_1_k101,503626,9027150,0.6133,0.9505,0.6258,0.9228,1.1726,1.4118,1.5941,1.7251,1.6654,1.5546,0,0.98
af_2_k101,503626,9027150,0.6134,0.9713,0.6269,0.9211,1.1731,1.4126,1.5945,1.7258,1.6648,1.555,0,0.98
af_3_k101,503626,9027150,0.6134,0.9503,0.6298,0.923,1.1723,1.4121,1.5948,1.7256,1.6664,1.5551,0,0.97
af_4_k101,503626,9027150,0.6135,0.9505,0.6254,0.9214,1.1725,1.4123,1.5945,1.7255,1.6656,1.5541,0,0.98
af_5_k101,503626,9027150,0.6133,0.9504,0.6253,0.9224,1.1732,1.4121,1.5945,1.726,1.6661,1.5553,0,0.98
af_shell1,504856,9046865,0.6168,0.9395,0.6288,0.8819,1.1627,1.3407,1.5486,1.7014,1.6691,1.5686,0,0.98
af_shell10,1508066,27090195,1.8301,2.7832,1.8717,2.6584,3.5348,4.0292,4.6527,4.9771,4.9807,4.6937,0,0.98
af_shell2,504856,9046865,0.6167,0.9398,0.6292,0.8816,1.1619,1.3408,1.5484,1.7011,1.669,1.57,0,0.98
af_shell3,504856,9046865,0.6168,0.9394,0.6291,0.8819,1.1623,1.3406,1.5488,1.7012,1.669,1.5698,0,0.98
af_shell4,504856,9046865,0.6166,0.9395,0.6334,0.882,1.1629,1.341,1.5485,1.701,1.6689,1.5688,0,0.97
af_shell5,504856,9046865,0.6166,0.9391,0.6295,0.8817,1.1624,1.3407,1.5486,1.7013,1.6692,1.5687,0,0.98
af_shell6,504856,9046865,0.6167,0.9396,0.6289,0.8816,1.1629,1.3408,1.5487,1.7008,1.6689,1.5696,0,0.98
af_shell7,504856,9046865,0.6165,0.9397,0.6332,0.8806,1.1629,1.3406,1.549,1.7009,1.6688,1.5687,0,0.97
af_shell8,504856,9046865,0.6169,0.9399,0.6336,0.8814,1.1625,1.3406,1.5489,1.701,1.6695,1.5688,0,0.97
af_shell9,504856,9046865,0.6166,0.9397,0.629,0.8815,1.1632,1.3413,1.5491,1.7011,1.6692,1.5691,0,0.98
ak2010,45293,108549,0.0229,0.0217,0.027,0.0286,0.023,0.0213,0.0213,0.0224,0.022,0.0213,4,1.02
Andrews,60001,410077,0.0607,0.0511,0.0621,0.0531,0.0515,0.0515,0.0515,0.0515,0.0516,0.0516,9,0.99
AS365,3799276,11368076,7.1108,9.2958,7.2179,12.2812,9.544,9.3074,9.296,9.2966,9.2969,9.2965,0,0.99
as-caida,31380,106762,0.0209,0.0192,0.0229,0.0253,0.0213,0.0205,0.0204,0.0204,0.0197,0.0204,9,0.97
ASIC_680k,682863,3871773,1.3895,1.9653,1.3566,2.6746,2.7355,2.7403,2.7405,2.7409,2.742,2.7396,1,1.02
as-Skitter,1696416,11095298,2.2092,3.2022,2.2686,4.0411,4.0632,3.9922,3.9259,3.8717,3.8332,3.8085,0,0.97
astro-ph,16707,121251,0.0143,0.0158,0.0156,0.0163,0.0147,0.0139,0.0138,0.0147,0.0147,0.0146,5,1.04
audikw_1,943696,39297771,1.8432,3.991,1.8407,2.5307,3.1707,3.7585,3.9213,4.1792,4.4887,4.4123,1,1.0
auto,448696,3314611,0.67,0.9321,0.6738,1.1561,1.0293,0.9589,0.9447,0.9339,0.9301,0.9326,0,0.99
barrier2-1,113077,3805068,0.3618,0.3896,0.3631,0.4379,0.4711,0.3951,0.4271,0.4253,0.424,0.424,0,1.0
barrier2-10,115626,3897557,0.3834,0.4335,0.3848,0.4814,0.502,0.4362,0.4387,0.4352,0.4352,0.4344,0,1.0
barrier2-11,115626,3897557,0.3834,0.4332,0.385,0.4812,0.5021,0.4379,0.4378,0.4365,0.4349,0.4346,0,1.0
barrier2-12,115626,3897557,0.3836,0.4341,0.3849,0.4825,0.5019,0.436,0.439,0.436,0.4345,0.4348,0,1.0
barrier2-2,113077,3805068,0.3724,0.4228,0.3743,0.4449,0.4847,0.4242,0.4272,0.4255,0.4243,0.4241,0,0.99
barrier2-3,113077,3805068,0.3726,0.423,0.3742,0.4439,0.484,0.426,0.4271,0.4249,0.4238,0.4237,0,1.0
barrier2-4,113077,3805068,0.3724,0.4232,0.3736,0.4437,0.4828,0.426,0.4268,0.4251,0.4241,0.4235,0,1.0
barrier2-9,115626,3897557,0.3835,0.433,0.3849,0.4813,0.5046,0.4374,0.4388,0.4358,0.4349,0.4346,0,1.0
bauru5727,40367,145019,0.0214,0.0242,0.0236,0.0328,0.0302,0.0261,0.0253,0.0253,0.0252,0.0253,0,0.91
bbmat,38745,1771722,0.0704,0.1708,0.072,0.0761,0.0736,0.0754,0.0868,0.0926,0.1646,0.1729,0,0.98
