dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
144,144650,1074393,0.1965,0.2493,0.202,0.3469,0.2572,0.2472,0.2479,0.2478,0.2476,0.2477,0,0.97
2D_27628_bjtcai,27629,442898,0.0244,0.0528,0.0271,0.0319,0.0425,0.0631,0.0639,0.0606,0.0565,0.0565,0,0.9
2D_54019_highK,54020,996414,0.0438,0.1143,0.0467,0.0557,0.0769,0.1147,0.1171,0.1171,0.1262,0.1229,0,0.94
333SP,3712816,11108633,5.966,8.0708,5.9468,13.4457,8.8323,8.0968,8.0789,8.0746,8.0692,8.0696,1,1.0
3D_28984_Tetra,28985,599170,0.0292,0.0667,0.031,0.0401,0.0483,0.0704,0.0721,0.0746,0.0688,0.0687,0,0.94
3D_51448_3D,51449,1056610,0.0495,0.1159,0.0508,0.0613,0.0844,0.1278,0.1327,0.1384,0.1278,0.1278,0,0.97
3Dspectralwave,680944,17165766,1.4437,2.0716,1.4567,2.5654,2.7809,2.8366,2.5332,2.2468,2.146,2.1198,0,0.99
3Dspectralwave2,292009,7307376,0.6098,0.8896,0.6289,1.0951,1.1894,1.2223,1.0833,0.9534,0.9194,0.9106,0,0.97
3dtube,45331,1629474,0.0553,0.1839,0.0574,0.0778,0.0909,0.1221,0.1311,0.1572,0.1802,0.1844,0,0.96
598a,110972,741934,0.1334,0.177,0.1382,0.226,0.1734,0.1773,0.177,0.1779,0.1794,0.1792,0,0.97
a0nsdsil,80017,200021,0.0328,0.066,0.0369,0.0869,0.0868,0.0869,0.0868,0.0876,0.0876,0.0868,0,0.89
a2nnsnsl,80017,196115,0.0321,0.066,0.0368,0.0876,0.0868,0.0876,0.0864,0.0859,0.0827,0.0803,0,0.87
a5esindl,60009,145004,0.0253,0.0495,0.0289,0.0657,0.0654,0.0655,0.0654,0.0662,0.0655,0.0655,0,0.88
adaptive,6815745,13624320,8.8906,12.679,9.2598,23.2654,15.2703,12.6785,12.6782,12.6793,12.6784,12.6791,0,0.96
af_0_k101,503626,9027150,0.6141,1.0954,0.631,1.1343,1.4024,1.5851,1.7987,1.9096,1.9329,1.6751,0,0.97
af_1_k101,503626,9027150,0.6179,1.0946,0.6316,1.1346,1.4024,1.5844,1.7995,1.9117,1.933,1.6751,0,0.98
af_2_k101,503626,9027150,0.618,1.0952,0.6309,1.1348,1.4019,1.5845,1.7967,1.9127,1.932,1.6746,0,0.98
af_3_k101,503626,9027150,0.6181,1.0953,0.6313,1.1341,1.4027,1.5831,1.7981,1.9121,1.9304,1.6763,0,0.98
af_4_k101,503626,9027150,0.6178,1.0952,0.6313,1.1349,1.4017,1.5838,1.7979,1.9111,1.9312,1.6741,0,0.98
af_5_k101,503626,9027150,0.6178,1.0934,0.6315,1.135,1.4018,1.584,1.7971,1.9116,1.9318,1.6743,0,0.98
af_shell1,504856,9046865,0.6212,1.106,0.6337,1.1323,1.3722,1.5819,1.7881,1.9296,1.9234,1.6992,0,0.98
