dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,8,16,24,32,40,48,56,64,density,speedup
144,144650,1074393,0.0486,0.0704,0.0462,0.0643,0.0708,0.0725,0.0708,0.0708,0.0708,0.0709,8,1.05
2D_27628_bjtcai,27629,442898,0.0097,0.016,0.0102,0.0119,0.0103,0.011,0.0119,0.0177,0.0168,0.0168,0,0.95
2D_54019_highK,54020,996414,0.0331,0.0291,0.034,0.0372,0.0151,0.016,0.0201,0.0291,0.0291,0.0323,24,1.93
333SP,3712816,11108633,0.9216,1.7851,0.9803,1.412,1.9728,1.977,1.9769,1.9762,1.9772,1.9766,0,0.94
3D_28984_Tetra,28985,599170,0.0192,0.0169,0.0201,0.0209,0.0216,0.0241,0.0159,0.0184,0.0193,0.0185,40,1.06
3D_51448_3D,51449,1056610,0.0316,0.0279,0.034,0.0356,0.0168,0.02,0.0283,0.0307,0.0316,0.0307,24,1.66
3Dspectralwave,680944,17165766,0.3388,0.476,0.3825,0.4665,0.4992,0.5171,0.5019,0.5051,0.5227,0.5376,0,0.89
3Dspectralwave2,292009,7307376,0.1131,0.1923,0.1339,0.1741,0.179,0.1831,0.1799,0.1806,0.188,0.1962,0,0.84
3dtube,45331,1629474,0.0283,0.0391,0.0307,0.0307,0.0356,0.0372,0.0373,0.0446,0.0274,0.0307,56,1.03
598a,110972,741934,0.0286,0.0539,0.0381,0.0495,0.0536,0.0545,0.0545,0.0544,0.0545,0.0545,0,0.75
a0nsdsil,80017,200021,0.0392,0.0346,0.0397,0.0405,0.0348,0.0348,0.0348,0.0348,0.0348,0.0348,128,0.99
a2nnsnsl,80017,196115,0.0392,0.0345,0.039,0.0422,0.0348,0.0349,0.0356,0.0356,0.0348,0.0349,128,0.99
a5esindl,60009,145004,0.0308,0.027,0.0307,0.0323,0.0273,0.0274,0.0274,0.0275,0.0275,0.0275,128,0.99
adaptive,6815745,13624320,0.9631,3.1586,1.0141,1.7518,3.5954,3.5946,3.5945,3.5952,3.595,3.5947,0,0.95
af_0_k101,503626,9027150,0.0581,0.2545,0.0504,0.0536,0.0544,0.0708,0.0872,0.1338,0.2274,0.2273,8,1.15
af_1_k101,503626,9027150,0.0584,0.2544,0.0511,0.0536,0.0544,0.0709,0.0872,0.1339,0.2273,0.2273,8,1.14
af_2_k101,503626,9027150,0.0538,0.2545,0.0503,0.0536,0.0544,0.0708,0.0873,0.1339,0.2273,0.2273,8,1.07
af_3_k101,503626,9027150,0.0538,0.2544,0.0504,0.0536,0.0545,0.0709,0.0872,0.1339,0.2274,0.2274,8,1.07
af_4_k101,503626,9027150,0.0536,0.2543,0.0511,0.0536,0.0545,0.0708,0.0872,0.1339,0.2273,0.2273,8,1.05
af_5_k101,503626,9027150,0.0536,0.2545,0.0512,0.0536,0.0545,0.0709,0.0872,0.1339,0.2273,0.2274,8,1.05
af_shell1,504856,9046865,0.0656,0.2548,0.0659,0.0561,0.0561,0.0692,0.0921,0.1347,0.2273,0.2282,16,1.17
af_shell10,1508066,27090195,0.237,0.7555,0.2391,0.2507,0.2512,0.304,0.3759,0.5203,0.8118,0.8125,0,0.99
af_shell2,504856,9046865,0.0658,0.2548,0.0659,0.056,0.0569,0.0692,0.0921,0.1347,0.2273,0.2282,16,1.17
af_shell3,504856,9046865,0.0656,0.2548,0.0659,0.056,0.0569,0.0692,0.0921,0.1347,0.228,0.2281,16,1.17
