dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,8,16,24,32,40,48,56,64,density,speedup
144,144650,1074393,0.1919,0.1673,0.264,0.2656,0.1595,0.158,0.1574,0.1581,0.1593,0.1587,40,1.06
2D_27628_bjtcai,27629,442898,0.0326,0.0523,0.034,0.0315,0.0314,0.0315,0.0331,0.0381,0.0389,0.0413,24,1.04
2D_54019_highK,54020,996414,0.0609,0.1211,0.061,0.056,0.0666,0.0675,0.0668,0.07,0.0716,0.0748,16,1.09
333SP,3712816,11108633,7.5019,4.0874,7.8907,7.6734,4.2286,4.0894,4.0877,4.0871,4.089,4.0866,64,1.0
3D_28984_Tetra,28985,599170,0.0426,0.0674,0.0438,0.0421,0.038,0.0371,0.0446,0.047,0.056,0.0576,32,1.15
3D_51448_3D,51449,1056610,0.0697,0.1185,0.0724,0.0692,0.0798,0.0798,0.079,0.0823,0.0913,0.0954,16,1.01
3Dspectralwave,680944,17165766,1.7631,2.3803,2.6796,2.7038,1.8515,1.7734,1.7913,1.9011,2.3237,2.3446,0,0.99
3Dspectralwave2,292009,7307376,0.705,0.9533,1.0536,1.1243,0.8056,0.7876,0.8057,0.8487,0.9955,1.034,0,0.9
3dtube,45331,1629474,0.0825,0.2897,0.0889,0.0864,0.0961,0.0946,0.0938,0.0986,0.1265,0.1331,0,0.95
598a,110972,741934,0.1436,0.1042,0.2018,0.1927,0.1035,0.1043,0.1043,0.1042,0.1043,0.1043,24,1.01
a0nsdsil,80017,200021,0.0499,0.0431,0.0512,0.0495,0.0429,0.043,0.043,0.043,0.0433,0.043,24,1.0
a2nnsnsl,80017,196115,0.0478,0.0428,0.0503,0.0487,0.043,0.043,0.0429,0.043,0.043,0.043,128,1.0
a5esindl,60009,145004,0.0384,0.0327,0.0389,0.0372,0.0331,0.0332,0.0323,0.0324,0.0323,0.0323,40,1.01
adaptive,6815745,13624320,8.3628,5.7928,8.7613,8.9049,5.797,5.7998,5.8006,5.7966,5.7979,5.7984,128,1.0
af_0_k101,503626,9027150,0.3356,1.1583,0.3937,0.47,0.4803,0.5669,0.5536,0.5987,0.7722,0.7733,0,0.85
af_1_k101,503626,9027150,0.3388,1.1583,0.3873,0.4741,0.4822,0.5667,0.5565,0.5978,0.771,0.7718,0,0.87
af_2_k101,503626,9027150,0.3396,1.1585,0.3718,0.4726,0.4836,0.5675,0.5538,0.5974,0.7722,0.7722,0,0.91
af_3_k101,503626,9027150,0.341,1.1583,0.4057,0.4699,0.4815,0.5623,0.5576,0.5991,0.7726,0.7723,0,0.84
