dataSet,num_nodes1,num_edges1,time
144,144650,1074393,0.1707
2D_27628_bjtcai,27629,442898,0.0369
2D_54019_highK,54020,996414,0.0817
333SP,3712816,11108633,5.7389
3D_28984_Tetra,28985,599170,0.0548
3D_51448_3D,51449,1056610,0.0952
3Dspectralwave,680944,17165766,1.8571
3Dspectralwave2,292009,7307376,0.7891
3dtube,45331,1629474,0.1694
598a,110972,741934,0.1094
a0nsdsil,80017,200021,0.0292
a2nnsnsl,80017,196115,0.0289
a5esindl,60009,145004,0.022
adaptive,6815745,13624320,8.9337
af_0_k101,503626,9027150,0.7653
af_1_k101,503626,9027150,0.7652
af_2_k101,503626,9027150,0.767
af_3_k101,503626,9027150,0.7677
af_4_k101,503626,9027150,0.7648
af_5_k101,503626,9027150,0.7667
af_shell1,504856,9046865,0.7678
af_shell10,1508066,27090195,2.3636
af_shell2,504856,9046865,0.7709
af_shell3,504856,9046865,0.7698
af_shell4,504856,9046865,0.7702
af_shell5,504856,9046865,0.7708
af_shell6,504856,9046865,0.7698
af_shell7,504856,9046865,0.77
af_shell8,504856,9046865,0.7717
af_shell9,504856,9046865,0.7713
ak2010,45293,108549,0.017
Andrews,60001,410077,0.0536
AS365,3799276,11368076,6.9494
as-caida,31380,106762,0.0154
ASIC_680k,682863,3871773,1.3179
as-Skitter,1696416,11095298,2.2561
astro-ph,16707,121251,0.0149
audikw_1,943696,39297771,4.1718
auto,448696,3314611,0.6245
barrier2-1,113077,3805068,0.4163
barrier2-10,115626,3897557,0.4278
barrier2-11,115626,3897557,0.4278
barrier2-12,115626,3897557,0.4277
barrier2-2,113077,3805068,0.4162
barrier2-3,113077,3805068,0.4159
barrier2-4,113077,3805068,0.4151
barrier2-9,115626,3897557,0.4274
bauru5727,40367,145019,0.0172
bbmat,38745,1771722,0.1664
bcsstk17,10975,219812,0.0221
bcsstk18,11949,80519,0.01
bcsstk25,15440,133840,0.0136
bcsstk29,13993,316740,0.0312
bcsstk30,28925,1036208,0.1039
bcsstk31,35589,608502,0.057
bcsstk32,44610,1029655,0.0974
bcsstk35,30238,740200,0.0704
bcsstk36,23053,583096,0.056
bcsstk37,25504,583240,0.0551
bcsstk39,46773,1068033,0.0983
bcsstm36,23053,166389,0.0149
belgium_osm,1441296,1549970,1.538
BenElechi1,245875,6698185,0.6332
blockqp1,60013,340022,0.0321
bloweya,30005,80005,0.0104
bloweybl,30004,70001,0.0114
bmw3_2,227363,5757996,0.5534
bmw7st_1,141348,3740507,0.363
bmwcra_1,148771,5396386,0.5354
bone010,986704,36326514,3.7499
boneS01,127225,3421188,0.3399
boneS10,914899,28191660,2.8503
