dataSet,num_nodes1,num_edges1,time
144,144650,1074393,0.0683
2D_27628_bjtcai,27629,442898,0.0292
2D_54019_highK,54020,996414,0.0634
333SP,3712816,11108633,1.4607
3D_28984_Tetra,28985,599170,0.039
3D_51448_3D,51449,1056610,0.0672
3Dspectralwave,680944,17165766,0.991
3Dspectralwave2,292009,7307376,0.4337
3dtube,45331,1629474,0.1028
598a,110972,741934,0.0477
a0nsdsil,80017,200021,0.0149
a2nnsnsl,80017,196115,0.0146
a5esindl,60009,145004,0.0117
adaptive,6815745,13624320,2.379
af_0_k101,503626,9027150,0.527
af_1_k101,503626,9027150,0.5276
af_2_k101,503626,9027150,0.5296
af_3_k101,503626,9027150,0.5291
af_4_k101,503626,9027150,0.5278
af_5_k101,503626,9027150,0.5267
af_shell1,504856,9046865,0.5281
af_shell10,1508066,27090195,1.5467
af_shell2,504856,9046865,0.5291
af_shell3,504856,9046865,0.5275
af_shell4,504856,9046865,0.53
af_shell5,504856,9046865,0.53
af_shell6,504856,9046865,0.5312
af_shell7,504856,9046865,0.5289
af_shell8,504856,9046865,0.5298
af_shell9,504856,9046865,0.5307
ak2010,45293,108549,0.0087
Andrews,60001,410077,0.0274
AS365,3799276,11368076,1.8037
as-caida,31380,106762,0.0084
ASIC_680k,682863,3871773,0.3173
as-Skitter,1696416,11095298,0.7333
astro-ph,16707,121251,0.0093
audikw_1,943696,39297771,2.2585
auto,448696,3314611,0.2174
barrier2-1,113077,3805068,0.2352
barrier2-10,115626,3897557,0.2387
barrier2-11,115626,3897557,0.2378
barrier2-12,115626,3897557,0.2378
barrier2-2,113077,3805068,0.2336
barrier2-3,113077,3805068,0.2345
barrier2-4,113077,3805068,0.2323
barrier2-9,115626,3897557,0.2366
bauru5727,40367,145019,0.0108
bbmat,38745,1771722,0.1115
bcsstk17,10975,219812,0.0154
bcsstk18,11949,80519,0.0068
bcsstk25,15440,133840,0.0101
bcsstk29,13993,316740,0.0217
bcsstk30,28925,1036208,0.0662
bcsstk31,35589,608502,0.0395
bcsstk32,44610,1029655,0.0659
bcsstk35,30238,740200,0.0478
bcsstk36,23053,583096,0.0381
bcsstk37,25504,583240,0.038
bcsstk39,46773,1068033,0.0678
bcsstm36,23053,166389,0.0121
belgium_osm,1441296,1549970,0.3979
BenElechi1,245875,6698185,0.3955
blockqp1,60013,340022,0.023
bloweya,30005,80005,0.0067
bloweybl,30004,70001,0.0068
bmw3_2,227363,5757996,0.3438
bmw7st_1,141348,3740507,0.2306
bmwcra_1,148771,5396386,0.3208
bone010,986704,36326514,2.0729
boneS01,127225,3421188,0.2115
boneS10,914899,28191660,1.61
boyd1,93280,652246,0.0442
boyd2,466317,890091,0.0973
brack2,62632,366559,0.0246
brainpc2,27608,96601,0.0082
bratu3d,27793,88627,0.0075
Bump_2911,2911420,65320659,3.7446
bundle1,10582,390741,0.0262
bundle_adj,513352,10360701,0.6055
c-42,10472,60378,0.0057
c-43,11126,67400,0.0063
c-45,13207,93829,0.008
c-46,14914,72655,0.0069
c-47,15344,113372,0.0093
c-48,18355,92217,0.0079
c-49,21133,89087,0.0079
c-50,22402,108013,0.0089
c-51,23197,113123,0.0092
c-52,23949,113332,0.0095
c-53,30236,201224,0.015
c-54,31794,211743,0.0157
c-55,32781,218115,0.0159
c-56,35911,208405,0.0153
c-57,37834,221515,0.0161
