dataSet,num_nodes1,num_edges1,time
144,144650,1074393,0.032
2D_27628_bjtcai,27629,442898,0.0088
2D_54019_highK,54020,996414,0.0175
333SP,3712816,11108633,1.4543
3D_28984_Tetra,28985,599170,0.0113
3D_51448_3D,51449,1056610,0.0184
3Dspectralwave,680944,17165766,0.47
3Dspectralwave2,292009,7307376,0.1983
3dtube,45331,1629474,0.026
598a,110972,741934,0.0245
a0nsdsil,80017,200021,0.0089
a2nnsnsl,80017,196115,0.0088
a5esindl,60009,145004,0.007
adaptive,6815745,13624320,2.3774
af_0_k101,503626,9027150,0.2559
af_1_k101,503626,9027150,0.2559
af_2_k101,503626,9027150,0.2559
af_3_k101,503626,9027150,0.2559
af_4_k101,503626,9027150,0.2559
af_5_k101,503626,9027150,0.2559
af_shell1,504856,9046865,0.2565
af_shell10,1508066,27090195,0.7618
af_shell2,504856,9046865,0.2565
af_shell3,504856,9046865,0.2565
af_shell4,504856,9046865,0.2566
af_shell5,504856,9046865,0.2565
af_shell6,504856,9046865,0.2564
af_shell7,504856,9046865,0.2566
af_shell8,504856,9046865,0.2565
af_shell9,504856,9046865,0.2565
ak2010,45293,108549,0.0057
Andrews,60001,410077,0.015
AS365,3799276,11368076,1.7727
as-caida,31380,106762,0.0051
ASIC_680k,682863,3871773,0.3041
as-Skitter,1696416,11095298,0.5739
astro-ph,16707,121251,0.0048
audikw_1,943696,39297771,0.9539
auto,448696,3314611,0.1583
barrier2-1,113077,3805068,0.093
barrier2-10,115626,3897557,0.0956
barrier2-11,115626,3897557,0.0963
barrier2-12,115626,3897557,0.0961
barrier2-2,113077,3805068,0.0926
barrier2-3,113077,3805068,0.0925
barrier2-4,113077,3805068,0.0925
barrier2-9,115626,3897557,0.0961
bauru5727,40367,145019,0.0057
bbmat,38745,1771722,0.0375
bcsstk17,10975,219812,0.0054
bcsstk18,11949,80519,0.0036
bcsstk25,15440,133840,0.0042
bcsstk29,13993,316740,0.0069
bcsstk30,28925,1036208,0.0213
bcsstk31,35589,608502,0.0115
bcsstk32,44610,1029655,0.018
bcsstk35,30238,740200,0.0135
bcsstk36,23053,583096,0.0111
bcsstk37,25504,583240,0.011
bcsstk39,46773,1068033,0.0186
bcsstm36,23053,166389,0.0045
belgium_osm,1441296,1549970,0.3972
BenElechi1,245875,6698185,0.1562
blockqp1,60013,340022,0.0093
bloweya,30005,80005,0.0041
