dataSet,num_nodes1,num_edges1,time
144,144650,1074393,0.1891
2D_27628_bjtcai,27629,442898,0.029
2D_54019_highK,54020,996414,0.0657
333SP,3712816,11108633,5.7624
3D_28984_Tetra,28985,599170,0.054
3D_51448_3D,51449,1056610,0.1088
3Dspectralwave,680944,17165766,1.4075
3Dspectralwave2,292009,7307376,0.6014
3dtube,45331,1629474,0.1739
598a,110972,741934,0.1417
a0nsdsil,80017,200021,0.3971
a2nnsnsl,80017,196115,0.3995
a5esindl,60009,145004,0.5145
adaptive,6815745,13624320,9.7607
af_0_k101,503626,9027150,0.7338
af_1_k101,503626,9027150,0.7325
af_2_k101,503626,9027150,0.7324
af_3_k101,503626,9027150,0.7324
af_4_k101,503626,9027150,0.7324
af_5_k101,503626,9027150,0.7339
af_shell1,504856,9046865,0.7385
af_shell10,1508066,27090195,2.2105
af_shell2,504856,9046865,0.7376
af_shell3,504856,9046865,0.7396
af_shell4,504856,9046865,0.7385
af_shell5,504856,9046865,0.7372
af_shell6,504856,9046865,0.7394
af_shell7,504856,9046865,0.7384
af_shell8,504856,9046865,0.7371
af_shell9,504856,9046865,0.7386
ak2010,45293,108549,0.0323
Andrews,60001,410077,0.0533
AS365,3799276,11368076,6.9338
as-caida,31380,106762,0.1442
ASIC_680k,682863,3871773,37.0073
as-Skitter,1696416,11095298,5.5487
astro-ph,16707,121251,0.0263
audikw_1,943696,39297771,2.6166
auto,448696,3314611,0.6174
barrier2-1,113077,3805068,0.7899
barrier2-10,115626,3897557,0.9054
barrier2-11,115626,3897557,0.9059
barrier2-12,115626,3897557,0.9068
barrier2-2,113077,3805068,0.7891
barrier2-3,113077,3805068,0.7892
barrier2-4,113077,3805068,0.7897
barrier2-9,115626,3897557,0.9073
bauru5727,40367,145019,0.0243
bbmat,38745,1771722,0.1008
bcsstk17,10975,219812,0.0156
bcsstk18,11949,80519,0.0098
bcsstk25,15440,133840,0.0128
bcsstk29,13993,316740,0.021
bcsstk30,28925,1036208,0.0604
bcsstk31,35589,608502,0.0416
bcsstk32,44610,1029655,0.0601
bcsstk35,30238,740200,0.0438
bcsstk36,23053,583096,0.0351
bcsstk37,25504,583240,0.0351
bcsstk39,46773,1068033,0.0616
bcsstm36,23053,166389,0.0147
belgium_osm,1441296,1549970,1.6717
BenElechi1,245875,6698185,0.4206
blockqp1,60013,340022,0.9743
bloweya,30005,80005,0.0142
bloweybl,30004,70001,0.0143
bmw3_2,227363,5757996,0.3923
bmw7st_1,141348,3740507,0.2545
bmwcra_1,148771,5396386,0.3342
bone010,986704,36326514,2.0905
boneS01,127225,3421188,0.2259
boneS10,914899,28191660,1.7207
boyd1,93280,652246,0.1066
boyd2,466317,890091,9.6049
brack2,62632,366559,0.0388
brainpc2,27608,96601,0.656
bratu3d,27793,88627,0.0151
Bump_2911,2911420,65320659,4.5789
bundle1,10582,390741,0.1703
bundle_adj,513352,10360701,1.9917
c-42,10472,60378,0.0698
c-43,11126,67400,0.1383
c-45,13207,93829,0.1294
c-46,14914,72655,0.0778
c-47,15344,113372,0.1166
c-48,18355,92217,0.0195
c-49,21133,89087,0.021
c-50,22402,108013,0.1062
c-51,23197,113123,0.0413
c-52,23949,113332,0.0246
c-53,30236,201224,0.2419
c-54,31794,211743,0.1106
c-55,32781,218115,0.0355
c-56,35911,208405,0.0796
c-57,37834,221515,0.5335
c-58,37596,295076,0.1854
c-59,41283,260909,0.0375
c-60,43641,171109,0.0309
c-61,43619,176817,0.0313
c-62,41732,300537,0.1713
c-62ghs,41732,300537,0.1727
c-63,44235,239469,0.0396
c-64,51036,384438,0.5104
c-64b,51036,384438,0.5073
c-65,48067,204297,0.056
c-66,49990,274498,0.2768
c-66b,49990,274498,0.2757
c-67b,57976,294955,0.1493
c-68,64811,315408,0.0501
c-69,67459,345714,0.0513
c-70,68925,363955,0.0532
c-71,76639,468096,0.0665
c-73,169423,724348,3.0922
c-73b,169423,724348,3.0917
ca-AstroPh,18773,198110,0.0375
ca-CondMat,23134,93497,0.0208
cage14,1505786,27130349,3.9219
cage15,5154860,99199551,17.664
ca-HepPh,12009,118521,0.032
caidaRouterLevel,192245,609066,0.2765
cant,62452,2034917,0.114
case39,40217,526139,0.9753
case9,14455,75801,0.359
c-big,345242,1343126,1.0212
cbuckle,13682,345098,0.0219
ccc,49153,73728,0.0253
cfd1,70657,949510,0.0723
Chebyshev4,68122,5377761,0.278
circuit_4,80210,307604,0.7451
circuit5M,5558327,59524291,135.9298
circuit5M_dc,3523318,19194193,6.888
citationCiteseer,268496,1156647,0.3533
cit-Patents,3774769,16518948,8.2758
ckt11752_dc_1,49703,333029,0.1705
ckt11752_tr_0,49703,333029,0.1696
cnr-2000,325558,3216152,1.7339
CO,221120,3943588,0.3552
coAuthorsCiteseer,227321,814134,0.3705
coAuthorsDBLP,299068,977676,0.3971
cond-mat-2003,31164,120029,0.024
cond-mat-2005,40422,175693,0.0319
conf5_4-8x8-05,49153,1916928,0.105
conf5_4-8x8-10,49153,1916928,0.105
conf5_4-8x8-15,49153,1916928,0.105
conf5_4-8x8-20,49153,1916928,0.105
conf6_0-8x8-20,49153,1916928,0.105
conf6_0-8x8-30,49153,1916928,0.105
conf6_0-8x8-80,49153,1916928,0.105
consph,83335,3046907,0.1684
cont-201,80596,239596,0.0814
cont-300,180896,539396,0.2147
coPapersCiteseer,434103,16036720,1.1295
coPapersDBLP,540487,15245729,1.3011
copter1,17223,114143,0.0137
CoupCons3D,416801,22322336,1.2964
crankseg_1,52805,5333507,0.3635
crankseg_2,63839,7106348,0.4934
crplat2,18011,489478,0.0296
crystk02,13966,491274,0.0299
crystk03,24697,887937,0.0509
crystm02,13966,168435,0.015
crystm03,24697,304233,0.0248
ct2010,67579,168176,0.0352
ct20stif,52330,1375396,0.0797
Cube_Coup_dt0,2164761,64685452,3.9623
Cube_Coup_dt6,2164761,64685452,3.9768
CurlCurl_0,11084,62213,0.0089
CurlCurl_4,2380516,14448191,2.9407
cvxqp3,17501,69981,0.0138
cyl6,13682,363961,0.0228
darcy003,389875,1167685,0.5586
dawson5,51538,531157,0.0383
dblp-2010,326187,807700,0.3523
dc3,116836,766396,9.5426
de2010,24116,58028,0.014
debr,1048577,2097149,1.4446
delaunay_n15,32769,98274,0.0188
delaunay_n16,65537,196575,0.0359
delaunay_n17,131073,393176,0.1457
delaunay_n18,262145,786396,0.3613
delaunay_n19,524289,1572823,0.7776
delaunay_n20,1048577,3145686,1.5739
delaunay_n21,2097153,6291408,3.1711
delaunay_n22,4194305,12582869,6.3411
denormal,89401,622812,0.1017
dictionary28,52653,89038,0.0231
dielFilterV2clx,607233,12958252,1.1934
dielFilterV2real,1157457,24848204,2.2733
dielFilterV3clx,420409,16653308,1.3042
Dubcova1,16130,134569,0.0159
Dubcova3,146690,1891669,0.2361
e40r0100,17282,553562,0.035
EAT_RS,23220,325592,0.039
ecology1,1000001,2998000,1.1726
ecology2,1000000,2997995,1.1725
email-Enron,36693,183831,0.086
Emilia_923,923137,20964171,1.4854
engine,143572,2424822,0.221
enron,69245,276143,0.1017
eu-2005,862665,19235140,7.2606
ex11,16615,1096948,0.0657
ex19,12006,259879,0.0187
F1,343792,13590452,0.9256
F2,71506,2682895,0.1642
Fault_639,638803,14626683,1.0278
fcondp2,201823,5748069,0.3716
fem_hifreq_circuit,491101,20239237,1.3566
filter3D,106438,1406808,0.1417
finance256,37377,167936,0.0244
Flan_1565,1564795,59485419,3.4258
flickr,820879,9837214,1.9417
foldoc,13357,120238,0.0455
Freescale1,3428756,18920347,7.5567
fullb,199188,5953632,0.387
FullChip,2987013,26621990,210.0065
fxm4_6,18893,258368,0.0247
G2_circuit,150103,438388,0.1765
G3_circuit,1585479,4623152,2.0313
Ga10As10H30,113082,3114357,0.2332
Ga19As19H42,133124,4508981,0.3281
Ga3As3H12,61350,3016148,0.2076
Ga41As41H72,268097,9378286,0.6577
GaAsH6,61350,1721579,0.1419
gas_sensor,66918,885141,0.0593
Ge87H76,112986,4002590,0.2814
Ge99H100,112986,4282190,0.2966
gearbox,153747,4617075,0.2876
Geo_1438,1437961,32297325,2.2975
gridgena,48963,280523,0.0309
gsm_106857,589447,11174185,2.1471
gupta1,31803,1098006,0.5
gupta2,62065,2155175,0.6801
gupta3,16784,4670105,0.2569
gyro,17362,519260,0.0408
gyro_k,17362,519260,0.041
gyro_m,17362,178896,0.0216
H2O,67025,1141880,0.0977
halfb,224618,6306219,0.4132
Hamrle3,1447361,5514242,1.9033
hangGlider_4,15562,79088,0.3404
hangGlider_5,16012,82070,0.3454
helm2d03,392258,1567096,0.6838
helm3d01,32227,230335,0.03
hi2010,25017,62063,0.0153
hollywood-2009,1139906,57515616,4.9382
hood,220543,5494489,0.4156
Hook_1498,1498024,31207734,2.3684
HTC_336_4438,226341,565431,0.7992
HTC_336_9129,226341,554881,0.8032
hugetric-00000,5824555,8733523,7.6566
human_gene1,22284,12345963,1.3817
human_gene2,14341,9041364,1.0224
HV15R,2017170,283073458,15.6894
ibm_matrix_2,51449,1056610,0.1129
igbt3,10939,234006,0.0196
in-2004,1382909,16917053,3.5176
inlet,11731,328323,0.0222
inline_1,503713,18660027,1.328
ins2,309413,1530448,0.7557
italy_osm,6686494,7013978,7.7356
jan99jac120sc,41375,260202,0.0353
juba40k,40338,144945,0.0243
k3plates,11108,378927,0.0238
kim1,38416,933195,0.0535
kkt_power,2063495,8130343,3.1463
kron_g500-logn16,65537,2456398,0.7035
kron_g500-logn17,131073,5114375,1.4254
kron_g500-logn18,262145,10583222,2.367
kron_g500-logn19,524289,21781478,4.6567
kron_g500-logn20,1048577,44620272,8.7235
laminar_duct3D,67174,3833077,0.2213
language,399131,1216334,0.5091
largebasis,440021,5560100,1.0646
ldoor,952204,23737339,1.8329
lhr34,35153,764014,0.0496
lhr34c,35153,764014,0.0469
lhr71,70305,1528092,0.1036
lhr71c,70305,1528092,0.1036
li,22696,1350309,0.0747
ljournal-2008,5363261,79023142,17.2504
Long_Coup_dt0,1470153,44279572,2.7503
