dataSet,num_nodes1,num_edges1,time
144,144650,1074393,0.2952
2D_27628_bjtcai,27629,442898,0.0637
2D_54019_highK,54020,996414,0.1494
333SP,3712816,11108633,6.8262
3D_28984_Tetra,28985,599170,0.1056
3D_51448_3D,51449,1056610,0.2592
3Dspectralwave,680944,17165766,2.5879
3Dspectralwave2,292009,7307376,1.0895
3dtube,45331,1629474,0.4223
598a,110972,741934,0.2268
a0nsdsil,80017,200021,0.8339
a2nnsnsl,80017,196115,0.824
a5esindl,60009,145004,1.5191
adaptive,6815745,13624320,11.7489
af_0_k101,503626,9027150,1.2816
af_1_k101,503626,9027150,1.283
af_2_k101,503626,9027150,1.2815
af_3_k101,503626,9027150,1.283
af_4_k101,503626,9027150,1.2825
af_5_k101,503626,9027150,1.2765
af_shell1,504856,9046865,1.2896
af_shell10,1508066,27090195,3.9366
af_shell2,504856,9046865,1.2897
af_shell3,504856,9046865,1.2837
af_shell4,504856,9046865,1.2887
af_shell5,504856,9046865,1.2854
af_shell6,504856,9046865,1.2871
af_shell7,504856,9046865,1.2872
af_shell8,504856,9046865,1.2854
af_shell9,504856,9046865,1.2828
ak2010,45293,108549,0.0809
Andrews,60001,410077,0.124
AS365,3799276,11368076,7.7215
as-caida,31380,106762,0.3551
ASIC_680k,682863,3871773,60.0643
as-Skitter,1696416,11095298,8.4116
astro-ph,16707,121251,0.0442
audikw_1,943696,39297771,5.1167
auto,448696,3314611,1.0087
barrier2-1,113077,3805068,1.3863
barrier2-10,115626,3897557,1.5997
barrier2-11,115626,3897557,1.5997
barrier2-12,115626,3897557,1.5991
barrier2-2,113077,3805068,1.3863
barrier2-3,113077,3805068,1.3861
barrier2-4,113077,3805068,1.3863
barrier2-9,115626,3897557,1.5987
bauru5727,40367,145019,0.0607
bbmat,38745,1771722,0.2075
bcsstk17,10975,219812,0.0284
bcsstk18,11949,80519,0.0163
bcsstk25,15440,133840,0.0245
bcsstk29,13993,316740,0.0393
bcsstk30,28925,1036208,0.1179
bcsstk31,35589,608502,0.0899
bcsstk32,44610,1029655,0.1321
bcsstk35,30238,740200,0.0881
bcsstk36,23053,583096,0.0689
bcsstk37,25504,583240,0.07
bcsstk39,46773,1068033,0.1325
bcsstm36,23053,166389,0.031
belgium_osm,1441296,1549970,2.0348
BenElechi1,245875,6698185,0.8169
blockqp1,60013,340022,2.6439
bloweya,30005,80005,0.0405
bloweybl,30004,70001,0.0403
bmw3_2,227363,5757996,0.7378
bmw7st_1,141348,3740507,0.4756
bmwcra_1,148771,5396386,0.6595
bone010,986704,36326514,4.4659
boneS01,127225,3421188,0.4315
boneS10,914899,28191660,3.5934
boyd1,93280,652246,0.1478
boyd2,466317,890091,14.8503
brack2,62632,366559,0.1075
brainpc2,27608,96601,1.886
bratu3d,27793,88627,0.0339
Bump_2911,2911420,65320659,9.1281
bundle1,10582,390741,0.15
bundle_adj,513352,10360701,2.9105
c-42,10472,60378,0.0991
c-43,11126,67400,0.2074
c-45,13207,93829,0.1793
c-46,14914,72655,0.1278
c-47,15344,113372,0.1912
c-48,18355,92217,0.0357
c-49,21133,89087,0.0441
c-50,22402,108013,0.2674
c-51,23197,113123,0.0759
c-52,23949,113332,0.0484
c-53,30236,201224,0.4598
c-54,31794,211743,0.2113
c-55,32781,218115,0.0706
c-56,35911,208405,0.1659
c-57,37834,221515,1.0409
c-58,37596,295076,0.492
c-59,41283,260909,0.0795
c-60,43641,171109,0.0711
c-61,43619,176817,0.0721
c-62,41732,300537,0.4539
c-62ghs,41732,300537,0.4543
c-63,44235,239469,0.083
c-64,51036,384438,0.9816
c-64b,51036,384438,0.9818
c-65,48067,204297,0.1149
c-66,49990,274498,0.7585
c-66b,49990,274498,0.7627
c-67b,57976,294955,0.318
c-68,64811,315408,0.1223
c-69,67459,345714,0.1261
c-70,68925,363955,0.128
c-71,76639,468096,0.1456
c-73,169423,724348,4.6093
c-73b,169423,724348,4.5117
ca-AstroPh,18773,198110,0.0621
ca-CondMat,23134,93497,0.0402
cage14,1505786,27130349,6.1625
cage15,5154860,99199551,24.5036
ca-HepPh,12009,118521,0.0465
caidaRouterLevel,192245,609066,0.4113
cant,62452,2034917,0.244
case39,40217,526139,2.2364
case9,14455,75801,0.5746
c-big,345242,1343126,1.5857
cbuckle,13682,345098,0.0411
ccc,49153,73728,0.0666
cfd1,70657,949510,0.157
Chebyshev4,68122,5377761,0.572
circuit_4,80210,307604,1.4322
circuit5M,5558327,59524291,216.5605
circuit5M_dc,3523318,19194193,8.1282
citationCiteseer,268496,1156647,0.5547
cit-Patents,3774769,16518948,10.0778
ckt11752_dc_1,49703,333029,0.4692
ckt11752_tr_0,49703,333029,0.4695
cnr-2000,325558,3216152,2.7544
CO,221120,3943588,0.6317
coAuthorsCiteseer,227321,814134,0.5326
coAuthorsDBLP,299068,977676,0.5142
cond-mat-2003,31164,120029,0.053
cond-mat-2005,40422,175693,0.0715
conf5_4-8x8-05,49153,1916928,0.2306
conf5_4-8x8-10,49153,1916928,0.2303
conf5_4-8x8-15,49153,1916928,0.2303
conf5_4-8x8-20,49153,1916928,0.2301
conf6_0-8x8-20,49153,1916928,0.2303
conf6_0-8x8-30,49153,1916928,0.2306
conf6_0-8x8-80,49153,1916928,0.23
consph,83335,3046907,0.3557
cont-201,80596,239596,0.1157
cont-300,180896,539396,0.2594
coPapersCiteseer,434103,16036720,2.2033
coPapersDBLP,540487,15245729,2.5438
copter1,17223,114143,0.0259
CoupCons3D,416801,22322336,2.7117
crankseg_1,52805,5333507,0.7109
crankseg_2,63839,7106348,0.9303
crplat2,18011,489478,0.0572
crystk02,13966,491274,0.0557
crystk03,24697,887937,0.0998
crystm02,13966,168435,0.0251
crystm03,24697,304233,0.048
ct2010,67579,168176,0.0953
ct20stif,52330,1375396,0.1725
Cube_Coup_dt0,2164761,64685452,8.4414
Cube_Coup_dt6,2164761,64685452,8.434
CurlCurl_0,11084,62213,0.014
CurlCurl_4,2380516,14448191,4.3151
cvxqp3,17501,69981,0.0272
cyl6,13682,363961,0.0427
darcy003,389875,1167685,0.6608
dawson5,51538,531157,0.0965
dblp-2010,326187,807700,0.4532
dc3,116836,766396,17.2768
de2010,24116,58028,0.034
debr,1048577,2097149,1.8402
delaunay_n15,32769,98274,0.0474
delaunay_n16,65537,196575,0.1032
delaunay_n17,131073,393176,0.2258
delaunay_n18,262145,786396,0.4634
delaunay_n19,524289,1572823,0.9274
delaunay_n20,1048577,3145686,1.8495
delaunay_n21,2097153,6291408,3.6985
delaunay_n22,4194305,12582869,7.3872
denormal,89401,622812,0.157
dictionary28,52653,89038,0.0592
dielFilterV2clx,607233,12958252,2.0518
dielFilterV2real,1157457,24848204,3.9326
dielFilterV3clx,420409,16653308,2.3704
Dubcova1,16130,134569,0.028
Dubcova3,146690,1891669,0.4437
e40r0100,17282,553562,0.0659
EAT_RS,23220,325592,0.0548
ecology1,1000001,2998000,1.5594
ecology2,1000000,2997995,1.5529
email-Enron,36693,183831,0.2455
Emilia_923,923137,20964171,2.9308
engine,143572,2424822,0.3755
enron,69245,276143,0.2558
eu-2005,862665,19235140,12.5265
ex11,16615,1096948,0.1176
ex19,12006,259879,0.0336
F1,343792,13590452,1.8998
F2,71506,2682895,0.3338
Fault_639,638803,14626683,2.0158
fcondp2,201823,5748069,0.6988
fem_hifreq_circuit,491101,20239237,2.7905
filter3D,106438,1406808,0.2658
finance256,37377,167936,0.0595
Flan_1565,1564795,59485419,7.3609
flickr,820879,9837214,3.1008
foldoc,13357,120238,0.0747
Freescale1,3428756,18920347,8.6285
fullb,199188,5953632,0.7501
FullChip,2987013,26621990,349.322
fxm4_6,18893,258368,0.0503
G2_circuit,150103,438388,0.2385
G3_circuit,1585479,4623152,2.6428
Ga10As10H30,113082,3114357,0.4498
Ga19As19H42,133124,4508981,0.6168
Ga3As3H12,61350,3016148,0.4169
Ga41As41H72,268097,9378286,1.3012
GaAsH6,61350,1721579,0.2833
gas_sensor,66918,885141,0.1461
Ge87H76,112986,4002590,0.5433
Ge99H100,112986,4282190,0.5719
gearbox,153747,4617075,0.5648
Geo_1438,1437961,32297325,4.5447
gridgena,48963,280523,0.0758
gsm_106857,589447,11174185,3.461
gupta1,31803,1098006,0.8773
gupta2,62065,2155175,1.1498
gupta3,16784,4670105,0.4831
gyro,17362,519260,0.0795
gyro_k,17362,519260,0.0793
gyro_m,17362,178896,0.0378
H2O,67025,1141880,0.1888
halfb,224618,6306219,0.7946
Hamrle3,1447361,5514242,2.6066
hangGlider_4,15562,79088,0.7194
hangGlider_5,16012,82070,0.7843
helm2d03,392258,1567096,0.8098
helm3d01,32227,230335,0.0607
hi2010,25017,62063,0.0369
hollywood-2009,1139906,57515616,8.6686
hood,220543,5494489,0.7712
Hook_1498,1498024,31207734,4.5825
HTC_336_4438,226341,565431,1.0785
HTC_336_9129,226341,554881,1.0714
hugetric-00000,5824555,8733523,9.247
human_gene1,22284,12345963,1.9234
human_gene2,14341,9041364,1.4638
HV15R,2017170,283073458,32.2347
ibm_matrix_2,51449,1056610,0.2595
igbt3,10939,234006,0.0297
in-2004,1382909,16917053,5.8131
inlet,11731,328323,0.0389
inline_1,503713,18660027,2.5111
ins2,309413,1530448,1.0869
italy_osm,6686494,7013978,9.4084
jan99jac120sc,41375,260202,0.0773
juba40k,40338,144945,0.0605
k3plates,11108,378927,0.0436
kim1,38416,933195,0.1134
kkt_power,2063495,8130343,3.902
kron_g500-logn16,65537,2456398,1.1735
kron_g500-logn17,131073,5114375,2.3132
kron_g500-logn18,262145,10583222,4.0503
kron_g500-logn19,524289,21781478,8.2227
kron_g500-logn20,1048577,44620272,15.8015
laminar_duct3D,67174,3833077,0.4328
language,399131,1216334,0.7585
largebasis,440021,5560100,1.2829
ldoor,952204,23737339,3.3848
lhr34,35153,764014,0.1026
lhr34c,35153,764014,0.1026
lhr71,70305,1528092,0.2192
lhr71c,70305,1528092,0.2194
li,22696,1350309,0.1522
ljournal-2008,5363261,79023142,23.5731
Long_Coup_dt0,1470153,44279572,5.8522
Long_Coup_dt6,1470153,44279572,5.8419
lowThrust_10,18261,116074,0.827
lowThrust_11,18369,117002,0.9193
lowThrust_12,18459,117423,0.9133
lowThrust_13,18477,117580,0.912
lowThrust_4,13563,84240,0.4192
lowThrust_5,16263,103701,0.6291
lowThrust_6,16929,108376,0.7244
lowThrust_7,17379,110607,0.7279
lowThrust_8,17703,113139,0.781
lowThrust_9,18045,114806,0.8763
lp1,534389,1088904,39.2269
luxembourg_osm,114600,119666,0.1625
m14b,214766,1679018,0.4484
mario001,38435,114643,0.0541
mario002,389875,1167685,0.6604
mark3jac040sc,18290,113435,0.0312
mark3jac060sc,27450,170695,0.0455
me2010,69519,167738,0.0985
memplus,17759,126150,0.0737
mip1,66464,5209641,9.4301
ML_Laplace,377003,27689972,3.0874
mouse_gene,45102,14506196,2.2712
msc10848,10849,620313,0.1081
msc23052,23053,588933,0.0721
msdoor,415864,10328399,1.4565
m_t1,97579,4925574,0.5404
mult_dcop_01,25188,193276,3.2181
mult_dcop_02,25188,193276,3.2345
mult_dcop_03,25188,193216,3.218
NACA0015,1039184,3114818,2.0521
nasasrb,54871,1366097,0.1696
nd12k,36001,7128473,0.715
nd24k,72001,14393817,1.4831
nd6k,18001,3457658,0.3509
net100,29921,1031560,0.1441
net125,36721,1306960,0.188
net150,43521,1582360,0.2304
net4-1,88344,1265035,0.8105
net50,16321,480760,0.064
net75,23121,756160,0.1031
netherlands_osm,2216689,2441238,3.0724
nh2010,48838,117275,0.0637
NLR,4163764,12487976,8.4827
NotreDame_www,325730,929849,1.5899
nv2010,84539,208499,0.1264
ohne2,181344,11063545,1.6074
oilpan,73753,1835470,0.228
olafu,16147,515651,0.059
onetone2,36058,227628,0.0603
OPF_10000,43888,255799,0.0695
opt1,15450,973052,0.1034
p2p-Gnutella31,62587,147892,0.0653
parabolic_fem,525826,2100225,1.3801
patents,3774769,14970767,9.5502
pattern1,19243,4671337,1.1427
pcrystk02,13966,491274,0.0555
pcrystk03,24697,887937,0.0999
pct20stif,52330,1375396,0.1726
pdb1HYS,36418,2190591,0.2374
pds10,16559,83108,0.024
PFlow_742,742794,18940627,2.6168
pkustk01,22045,500712,0.063
pkustk02,10801,410400,0.0485
pkustk03,63337,1596876,0.2054
pkustk04,55591,2137125,0.2675
pkustk05,37165,1121154,0.135
pkustk06,43165,1307466,0.1586
pkustk07,16861,1217832,0.1367
pkustk08,22210,1624440,0.1802
pkustk09,33961,808800,0.1006
pkustk10,80677,2194830,0.2758
pkustk11,87805,2652858,0.328
pkustk12,94654,3803485,0.4328
pkustk13,94894,3355860,0.4096
pkustk14,151927,7494215,0.8575
pli,22696,686502,0.0838
PR02R,161071,8185136,0.9599
Pres_Poisson,14823,365313,0.0449
pwtk,217919,5926171,0.7234
qa8fk,66128,863353,0.1401
qa8fm,66128,863353,0.1408
raefsky3,21201,1488768,0.1547
raefsky4,19780,674195,0.078
rajat15,37262,443573,0.4177
rajat22,39900,197264,0.5064
rajat26,51033,249302,0.5238
rajat29,643995,4866270,62.2914
rajat30,643995,6175377,62.7255
ramage02,16831,1441591,0.1493
Reuters911,13333,148038,0.1255
rgg_n_2_15_s0,32769,160240,0.0493
rgg_n_2_22_s0,4194305,30359198,8.0449
ri2010,25182,62875,0.0346
rim,22561,1014951,0.1199
RM07R,381690,37464962,4.3141
rma10,46836,2374001,0.2708
roadNet-CA,1971282,2766607,2.7623
roadNet-PA,1090921,1541898,1.527
roadNet-TX,1393384,1921660,1.9239
s3dkq4m2,90450,2455670,0.2943
s3dkt3m2,90450,1921955,0.2458
s4dkt3m2,90450,1921955,0.2453
Serena,1391350,32961525,4.7767
shermanACb,18511,145149,1.1278
ship_001,34921,2339575,0.26
ship_003,121729,4103881,0.4875
shipsec1,140875,3977139,0.4912
shipsec5,179861,5146478,0.6279
shipsec8,114920,3384159,0.4115
Si10H16,17078,446500,0.0692
Si34H36,97570,2626974,0.3887
Si41Ge41H72,185640,7598452,0.9989
Si5H12,19897,379247,0.0661
Si87H76,240370,5451000,0.8161
sinc15,11533,568526,0.0648
SiO,33402,675528,0.1251
SiO2,155332,5719417,0.8444
skirt,12599,104559,0.0181
smallworld,100001,499998,0.1793
sme3Dc,42931,3148656,0.4779
smt,25711,1889447,0.2162
soc-LiveJournal1,4847572,68993773,26.0221
soc-sign-Slashdot090221,82145,549202,0.4232
sparsine,50001,799494,0.1615
srb1,54925,1508538,0.1843
Stanford,281904,2312497,0.6593
std1_Jac2,21983,1248731,0.2046
std1_Jac3,21983,1455848,0.2229
stokes128,49667,295938,0.077
stokes64,12547,74242,0.014
struct3,53571,613632,0.1032
