dataSet,rows_,columns_,nonzeros_,Sputnik_time,sputnik_gflops,ours_time,ours_gflops
144, 144649, 144649, 1074393, 76.117981, 7.226797, 0.226816,2425.266254
2D_27628_bjtcai, 27628, 27628, 442898, 2.971136, 38.161122, 0.025072,4522.251539
2D_54019_highK, 54019, 54019, 996414, 11.314966, 22.543768, 0.049869,5115.061475
333SP, 3712815, 3712815, 11108633, 0.000179, 31738950.993233, 6.790784,837.549884
3D_28984_Tetra, 28984, 28984, 599170, 3.274445, 46.843823, 0.032973,4651.940891
3D_51448_3D, 51448, 51448, 1056610, 10.273177, 26.329942, 0.057242,4725.447165
3Dspectralwave, 680943, 680943, 17165766, 1648.520508, 5.225625, 2.876211,2995.103727
3Dspectralwave2, 292008, 292008, 7307376, 305.872070, 11.987438, 1.223066,2997.895258
3dtube, 45330, 45330, 1629474, 8.070893, 101.932487, 0.147725,5569.046185
598a, 110971, 110971, 741934, 45.140469, 8.415291, 0.151757,2503.151160
a0nsdsil, 80016, 80016, 200021, 24.137497, 3.765457, 0.037075,2451.468970
a2nnsnsl, 80016, 80016, 196115, 24.195583, 3.673763, 0.036557,2431.526531
a5esindl, 60008, 60008, 145004, 13.932223, 4.685614, 0.030208,2161.050809
adaptive, 6815744, 6815744, 13624320, 0.000202, 34601447.893728, 8.631683,808.145012
af_0_k101, 503625, 503625, 9027150, 900.573425, 4.989013, 0.912179,4925.537525
af_1_k101, 503625, 503625, 9027150, 901.517578, 4.983788, 0.912589,4923.326764
af_2_k101, 503625, 503625, 9027150, 901.479309, 4.984000, 0.912486,4923.879397
af_3_k101, 503625, 503625, 9027150, 901.435913, 4.984240, 0.912486,4923.879397
af_4_k101, 503625, 503625, 9027150, 901.494629, 4.983915, 0.912794,4922.221871
af_5_k101, 503625, 503625, 9027150, 901.059387, 4.986323, 0.912794,4922.221871
af_shell1, 504855, 504855, 9046865, 905.217957, 4.974219, 0.918221,4903.779102
af_shell10, 1508065, 1508065, 27090195, 8062.079102, 1.672536, 2.778214,4853.518481
af_shell2, 504855, 504855, 9046865, 905.191223, 4.974366, 0.918915,4900.073604
af_shell3, 504855, 504855, 9046865, 905.305176, 4.973739, 0.919104,4899.066897
af_shell4, 504855, 504855, 9046865, 905.339844, 4.973549, 0.918710,4901.165688
af_shell5, 504855, 504855, 9046865, 905.409790, 4.973165, 0.918934,4899.970880
