dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,rode,ours_gflops
144, 144649, 144649, 1074393, 0.330650, 1663.662172, 0.439910, 1250.457369, 0.275558, 1996.270902
2D_27628_bjtcai, 27628, 27628, 442898, 0.033280, 3406.907683, 0.049152, 2306.760475, 0.024781, 4575.392664
2D_54019_highK, 54019, 54019, 996414, 0.070042, 3641.863887, 0.088576, 2879.809218, 0.050173, 5084.069155
333SP, 3712815, 3712815, 11108633, 10.907955, 521.419460, 11.725200, 485.076600, 8.646666, 657.781869
3D_28984_Tetra, 28984, 28984, 599170, 0.102909, 1490.518954, 0.056192, 2729.703935, 0.041984, 3653.475540
3D_51448_3D, 51448, 51448, 1056610, 0.157491, 1717.506554, 0.093597, 2889.972363, 0.056819, 4760.576663
3Dspectralwave, 680943, 680943, 17165766, 4.510496, 1909.889847, 3.687190, 2336.345620, 3.317862, 2596.415991
3Dspectralwave2, 292008, 292008, 7307376, 1.617920, 2266.257071, 1.689408, 2170.359461, 1.470259, 2493.861280
3dtube, 45330, 45330, 1629474, 0.163222, 5040.277721, 0.342835, 2399.654936, 0.162179, 5072.698773
598a, 110971, 110971, 741934, 0.227098, 1672.717796, 0.304845, 1246.110143, 0.205926, 1844.689259
a0nsdsil, 80016, 80016, 200021, 0.191830, 473.797196, 0.109450, 830.416036, 0.078810, 1153.269434
a2nnsnsl, 80016, 80016, 196115, 0.190278, 467.151461, 0.107946, 823.459542, 0.078746, 1128.810177
a5esindl, 60008, 60008, 145004, 0.231014, 282.584226, 0.056934, 1146.600751, 0.039446, 1654.929887
adaptive, 6815744, 6815744, 13624320, 12.682035, 550.041993, 17.146765, 406.820283, 12.622842, 552.621354
af_0_k101, 503625, 503625, 9027150, 0.964486, 4658.409659, 1.696358, 2648.598646, 2.375139, 1891.667120
af_1_k101, 503625, 503625, 9027150, 0.965014, 4655.861068, 1.694387, 2651.680018, 2.367795, 1897.534396
af_2_k101, 503625, 503625, 9027150, 0.964336, 4659.136168, 1.695312, 2650.233698, 2.364723, 1899.999454
af_3_k101, 503625, 503625, 9027150, 0.963914, 4661.177779, 1.691763, 2655.793096, 2.374982, 1891.791998
af_4_k101, 503625, 503625, 9027150, 0.964186, 4659.862904, 1.691955, 2655.491611, 2.363078, 1901.322011
af_5_k101, 503625, 503625, 9027150, 0.964838, 4656.710135, 1.695114, 2650.543832, 2.366784, 1898.345172
af_shell1, 504855, 504855, 9046865, 0.992870, 4535.085225, 1.711923, 2630.230114, 2.386806, 1886.517413
af_shell10, 1508065, 1508065, 27090195, 3.023155, 4460.278832, 4.872294, 2767.508395, 7.097568, 1899.821978
af_shell2, 504855, 504855, 9046865, 0.992461, 4536.956921, 1.711718, 2630.544886, 2.386717, 1886.588270
af_shell3, 504855, 504855, 9046865, 0.992666, 4536.021098, 1.710899, 2631.804433, 2.387034, 1886.337880
