dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,rode,ours_gflops
144, 144649, 144649, 1074393, 0.254874, 1079.141181, 0.904806, 303.981715, 0.197120, 1395.315592
2D_27628_bjtcai, 27628, 27628, 442898, 0.059597, 1902.482792, 0.432333, 262.256039, 0.048026, 2360.863583
2D_54019_highK, 54019, 54019, 996414, 0.099430, 2565.432540, 0.373862, 682.288397, 0.070963, 3594.567204
333SP, 3712815, 3712815, 11108633, 7.638631, 372.293172, 8.641229, 329.097888, 5.991014, 474.679215
3D_28984_Tetra, 28984, 28984, 599170, 0.129229, 1186.945375, 0.447386, 342.853058, 0.057958, 2646.510589
3D_51448_3D, 51448, 51448, 1056610, 0.181862, 1487.345142, 0.383283, 705.724000, 0.074240, 3643.482805
3Dspectralwave, 680943, 680943, 17165766, 5.234176, 839.565999, 2.602906, 1688.280975, 2.033971, 2160.520299
3Dspectralwave2, 292008, 292008, 7307376, 1.201664, 1556.748227, 1.094861, 1708.608243, 0.870400, 2149.228118
3dtube, 45330, 45330, 1629474, 0.212275, 1965.115819, 0.314675, 1325.637763, 0.130765, 3190.043208
598a, 110971, 110971, 741934, 0.181248, 1047.929394, 0.530125, 358.283750, 0.149914, 1266.963822
a0nsdsil, 80016, 80016, 200021, 0.177562, 288.380903, 0.472166, 108.447735, 0.060723, 843.258889
a2nnsnsl, 80016, 80016, 196115, 0.179302, 280.004292, 0.471654, 106.445394, 0.061030, 822.630036
a5esindl, 60008, 60008, 145004, 0.146330, 253.680886, 0.475136, 78.127156, 0.051712, 717.841579
adaptive, 6815744, 6815744, 13624320, 11.419443, 305.428712, 13.496524, 258.424014, 9.408000, 370.729789
af_0_k101, 503625, 503625, 9027150, 3.059917, 755.233064, 1.547264, 1493.572134, 0.745165, 3101.260724
af_1_k101, 503625, 503625, 9027150, 3.057664, 755.789538, 1.530982, 1509.455890, 0.743526, 3108.094569
af_2_k101, 503625, 503625, 9027150, 3.061043, 754.955182, 1.541325, 1499.327326, 0.746189, 3097.005008
af_3_k101, 503625, 503625, 9027150, 3.061146, 754.929921, 1.541734, 1498.928989, 0.743526, 3108.094569
af_4_k101, 503625, 503625, 9027150, 3.060736, 755.030926, 1.538970, 1501.621853, 0.744141, 3105.528350
af_5_k101, 503625, 503625, 9027150, 3.062784, 754.526077, 1.539482, 1501.122417, 0.744141, 3105.528350
af_shell1, 504855, 504855, 9046865, 3.058279, 757.287953, 1.589248, 1457.291408, 0.749773, 3088.932380
af_shell10, 1508065, 1508065, 27090195, 10.683597, 649.134374, 3.740877, 1853.867515, 2.178150, 3183.935335
af_shell2, 504855, 504855, 9046865, 3.059405, 757.009165, 1.535181, 1508.615468, 0.748749, 3093.156883
af_shell3, 504855, 504855, 9046865, 3.062374, 756.275102, 1.535386, 1508.414190, 0.749773, 3088.932380
