dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
144, 144649, 144649, 1074393, 0.658534, 1670.646908, 0.751718, 1463.551330, 0.549050, 2003.786908
2D_27628_bjtcai, 27628, 27628, 442898, 0.061549, 3684.292442, 0.089805, 2525.074162, 0.046970, 4827.884059
2D_54019_highK, 54019, 54019, 996414, 0.159334, 3201.844527, 0.206234, 2473.719006, 0.123187, 4141.371697
333SP, 3712815, 3712815, 11108633, 21.802902, 521.730551, 23.206717, 490.170162, 17.338036, 656.085872
3D_28984_Tetra, 28984, 28984, 599170, 0.142541, 2152.191083, 0.105050, 2920.287609, 0.065142, 4709.299080
3D_51448_3D, 51448, 51448, 1056610, 0.257536, 2100.616253, 0.209715, 2579.614264, 0.120733, 4480.839814
3Dspectralwave, 680943, 680943, 17165766, 8.839270, 1949.154345, 7.372595, 2336.911368, 6.610822, 2606.196445
3Dspectralwave2, 292008, 292008, 7307376, 3.217437, 2279.219444, 3.113779, 2355.094667, 2.768077, 2649.220274
3dtube, 45330, 45330, 1629474, 0.307299, 5354.300856, 0.685350, 2400.775388, 0.405811, 4054.526729
598a, 110971, 110971, 741934, 0.455168, 1669.142825, 0.585190, 1298.279034, 0.416358, 1824.726903
a0nsdsil, 80016, 80016, 200021, 0.309859, 586.645178, 0.330445, 550.099182, 0.208659, 871.168928
a2nnsnsl, 80016, 80016, 196115, 0.303616, 585.534571, 0.330934, 537.199098, 0.212582, 836.276503
a5esindl, 60008, 60008, 145004, 0.375568, 347.638896, 0.201216, 648.865120, 0.150528, 867.360534
adaptive, 6815744, 6815744, 13624320, 24.932659, 559.559378, 34.428825, 405.221581, 34.428825, 405.221581
af_0_k101, 503625, 503625, 9027150, 1.929318, 4657.575167, 3.199181, 2808.827065, 4.890829, 1837.305320
af_1_k101, 503625, 503625, 9027150, 1.929008, 4658.324907, 3.255306, 2760.400108, 4.889395, 1837.844015
af_2_k101, 503625, 503625, 9027150, 1.928294, 4660.048656, 3.199709, 2808.363607, 4.891545, 1837.036091
af_3_k101, 503625, 503625, 9027150, 1.928806, 4658.811814, 3.263990, 2753.055154, 4.890624, 1837.382278
af_4_k101, 503625, 503625, 9027150, 1.929011, 4658.317076, 3.305984, 2718.084929, 4.889098, 1837.955865
af_5_k101, 503625, 503625, 9027150, 1.928822, 4658.773115, 3.198976, 2809.006931, 4.890727, 1837.343727
af_shell1, 504855, 504855, 9046865, 1.981776, 4544.158264, 3.228262, 2789.582469, 4.889600, 1841.767019
af_shell10, 1508065, 1508065, 27090195, 5.845395, 4613.585414, 9.831424, 2743.064538, 14.731468, 1830.654625
af_shell2, 504855, 504855, 9046865, 1.981133, 4545.633486, 3.228365, 2789.493801, 4.893594, 1840.263974
af_shell3, 504855, 504855, 9046865, 1.981152, 4545.589723, 3.231021, 2787.200929, 4.892467, 1840.687691
af_shell4, 504855, 504855, 9046865, 1.981251, 4545.362169, 3.230925, 2787.283528, 4.902362, 1836.972584
af_shell5, 504855, 504855, 9046865, 1.981683, 4544.371263, 3.230317, 2787.808196, 4.896666, 1839.109464
af_shell6, 504855, 504855, 9046865, 1.981206, 4545.465003, 3.231475, 2786.809062, 4.894122, 1840.065455
af_shell7, 504855, 504855, 9046865, 1.981418, 4544.980193, 3.231200, 2787.046275, 4.898406, 1838.455938
af_shell8, 504855, 504855, 9046865, 1.981206, 4545.465003, 3.229831, 2788.228007, 4.893101, 1840.449335
af_shell9, 504855, 504855, 9046865, 1.981440, 4544.929005, 3.230822, 2787.372056, 4.894822, 1839.802025
ak2010, 45292, 45292, 108549, 0.108442, 1025.014134, 0.125338, 886.838230, 0.096768, 1148.666693
