dataSet,num_nodes,num_edges,tcgnn
144,144650,1074393,0.4275
2D_27628_bjtcai,27629,442898,0.1313
2D_54019_highK,54020,996414,1.2818
333SP,3712816,11108633,1000000000
3D_28984_Tetra,28985,599170,14.478
3D_51448_3D,51449,1056610,24.9089
3Dspectralwave,680944,17165766,1000000000
3Dspectralwave2,292009,7307376,1000000000
3dtube,45331,1629474,5.2292
598a,110972,741934,0.3084
a0nsdsil,80017,200021,28.2022
a2nnsnsl,80017,196115,28.2173
a5esindl,60009,145004,8.0979
adaptive,6815745,13624320,1000000000
af_0_k101,503626,9027150,1000000000
af_1_k101,503626,9027150,1000000000
af_2_k101,503626,9027150,1000000000
af_3_k101,503626,9027150,1000000000
af_4_k101,503626,9027150,1000000000
af_5_k101,503626,9027150,1000000000
af_shell1,504856,9046865,1000000000
af_shell10,1508066,27090195,1000000000
af_shell2,504856,9046865,1000000000
af_shell3,504856,9046865,1000000000
af_shell4,504856,9046865,1000000000
af_shell5,504856,9046865,1000000000
af_shell6,504856,9046865,1000000000
af_shell7,504856,9046865,1000000000
af_shell8,504856,9046865,1000000000
af_shell9,504856,9046865,1000000000
ak2010,45293,108549,0.1795
Andrews,60001,410077,0.2042
AS365,3799276,11368076,1000000000
as-caida,31380,106762,2.5856
ASIC_680k,682863,3871773,36819.1055
as-Skitter,1696416,11095298,1000000000
astro-ph,16707,121251,0.1293
audikw_1,943696,39297771,1000000000
auto,448696,3314611,1.102
barrier2-1,113077,3805068,24.7514
barrier2-10,115626,3897557,44.3493
barrier2-11,115626,3897557,44.3483
barrier2-12,115626,3897557,44.3473
barrier2-2,113077,3805068,24.7503
barrier2-3,113077,3805068,24.7529
barrier2-4,113077,3805068,24.7516
barrier2-9,115626,3897557,44.3504
bauru5727,40367,145019,0.0851
bbmat,38745,1771722,0.2109
bcsstk17,10975,219812,0.0886
bcsstk18,11949,80519,0.0529
bcsstk25,15440,133840,0.0423
bcsstk29,13993,316740,0.0737
bcsstk30,28925,1036208,0.208
bcsstk31,35589,608502,0.1103
bcsstk32,44610,1029655,0.1697
bcsstk35,30238,740200,0.1447
bcsstk36,23053,583096,0.1097
bcsstk39,46773,1068033,0.1241
bcsstm36,23053,166389,0.0555
belgium_osm,1441296,1549970,1000000000
BenElechi1,245875,6698185,1000000000
blockqp1,60013,340022,409.9417
bloweya,30005,80005,29.9083
bloweybl,30004,70001,29.0265
bmw3_2,227363,5757996,1000000000
bmw7st_1,141348,3740507,1.0872
bmwcra_1,148771,5396386,1000000000
bone010,986704,36326514,1000000000
